Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
111.080427991707,17ahprgstrn,M+3H[3+],37.80061149,9.14172967725335e-06,EC0001
259.205635285503,17ahprgstrn,M-C3H4O2+H[1+],35.77614142,2.31812670676845e-05,EC0001
137.070989809157,1mncam,M[1+],67.09167678,0.000497190842992268,EC0002
429.372578030565,44mctr,M+H2O+H[1+],35.14993486,0.000156436204974852,EC0003
172.97749230391,4nphsf,M-HCOOH+H[1+],286.2920563,0.000316719060009518,EC0004
352.170457285998,5adtststerones,M-H2O+H[1+],113.9734293,0.000211087828006384,EC0005
972.291808318717,5dhf,M+H2O+H[1+],67.33910683,0.00482178335300887,EC0006
331.264298141336,adrn,M[1+],35.69242461,0.000592773636014954,EC0007
215.179470898441,andrstndn,M-C3H4O2+H[1+],36.664105,2.64316709888135e-05,EC0008
243.210684366867,andrstndn,M-CO2+H[1+],36.12821386,6.0099902981392e-05,EC0008
259.205635285503,andrstndn,M-CO+H[1+],35.77614142,9.08187329855537e-05,EC0008
384.383591383542,arachcrn,M-C3H4O2+H[1+],34.19567478,4.60832280282375e-05,EC0009
431.315360255116,arachdcrn,M-NH3+H[1+],36.34598075,0.000275149754031645,EC00010
203.007853212106,C00015,M+2H[2+],41.4499288,0.000523254664017259,EC00011
263.060030026189,C00016,M(C13)+3H[3+],163.0688729,0.000679773914384896,EC00012
231.006528171746,C00018,M-NH3+H[1+],31.96142648,0.00115170497599593,EC00013
249.035232339495,C00018,M(C13)+H[1+],120.2760899,4.41272750038024e-05,EC00014
348.070255578944,C00020,M+H[1+],279.0938051,0.000120887826028593,EC00015
385.12854918468,C00021,M+H[1+],111.5472898,0.000327282089983782,EC00016
140.90351874394,C00023,M+HCOOK[1+],67.97923437,4.22771699959412e-05,EC00017
102.054941254827,C00025,M-HCOOH+H[1+],129.5664869,0.000135211942989599,EC00018
104.070576199048,C00025,M-CO2+H[1+],91.67682051,0.000100267721990122,EC00019
112.039267750594,C00025,M-H4O2+H[1+],103.8579082,8.71617601205799e-06,EC00019
120.06551381768,C00025,M-CO+H[1+],93.86865768,3.73509100057845e-05,EC00019
130.049874013457,C00025,M-H2O+H[1+],106.0217565,2.45331298742713e-06,EC00019
103.038949520509,C00026,M-CO2+H[1+],83.10344233,2.6946261002081e-05,EC00020
145.049583863377,C00031,M-H4O2+H[1+],184.5723545,0.000107396606978227,EC00021
145.049584363377,C00031,M-H4O2+H[1+],74.82996784,0.000107896606976965,EC00022
199.08201625213,C00031,M+H2O+H[1+],107.0202268,0.000739785359968437,EC00023
203.052575824181,C00031,M+Na[1+],73.29524469,0.000100642589018207,EC00022
219.026200637058,C00031,M+K[1+],75.86485284,2.41702879861805e-05,EC00022
98.9841221557058,C00033,M+K[1+],49.02264168,0.000245688935819999,EC00024
501.988679236907,C00035,M+NaCl[1+],87.11187476,0.00149722986299139,EC00025
90.0549654348341,C00041,M+H[1+],92.25089592,1.10319358981315e-05,EC00026
91.0582940257327,C00041,M(C13)+H[1+],90.7673344,8.24410372928241e-05,EC00026
101.107331598972,C00047,M-HCOOH+H[1+],118.5971556,4.48677979960621e-05,EC00027
103.122969143194,C00047,M-CO2+H[1+],30.55011154,7.32357599986244e-06,EC00028
111.091667694742,C00047,M-H4O2+H[1+],38.00626827,9.12279719926801e-05,EC00028
129.102209557587,C00047,M-H2O+H[1+],119.45272,3.30908169985378e-05,EC00027
130.086280623286,C00047,M-NH3+H[1+],118.910386,4.15651598473232e-06,EC00027
130.086289923289,C00047,M-NH3+H[1+],78.3633046,1.3456518985322e-05,EC00029
147.112804820447,C00047,M+H[1+],113.7809615,2.83536769813963e-05,EC00027
148.116121491342,C00047,M(C13)+H[1+],112.3073647,5.49754280143588e-05,EC00027
185.068705568537,C00047,M+K[1+],118.8615855,0.000429101766997064,EC00027
106.049877933459,C00049,M-CO+H[1+],104.3974253,0.000101466689017116,EC00030
116.034208929228,C00049,M-H2O+H[1+],107.5832912,3.24624580088084e-05,EC00030
192.003317940882,C00049,M+NaCl[1+],96.3010481,5.85258879937101e-05,EC00030
88.039297750604,C00049,M-HCOOH+H[1+],105.2989188,7.87161659729918e-05,EC00030
90.0549654348341,C00049,M-CO2+H[1+],92.25089592,1.10319358839206e-05,EC00030
98.0236516963788,C00049,M-H4O2+H[1+],108.6173177,7.52296088109006e-05,EC00030
215.023505156331,C00054,M(C13)+2H[2+],141.1313562,0.00017131043901486,EC00031
158.092435284946,C00062,M-NH3+H[1+],111.117412,4.11818240309003e-05,EC00032
175.11897238211,C00062,M+H[1+],114.9384721,4.08466001999841e-06,EC00032
176.122322953014,C00062,M(C13)+H[1+],110.7909937,5.35137560291332e-05,EC00032
197.100913417232,C00062,M+Na[1+],114.5121263,6.30495380278262e-05,EC00032
213.074749430167,C00062,M+K[1+],113.3248333,0.000272963396980686,EC00032
233.07854283119,C00062,M+NaCl[1+],83.81362644,0.000966364419980437,EC00033
482.984704705835,C00063,M[1+],21.17274119,0.00020470583496035,EC00034
101.070944689148,C00064,M-HCOOH+H[1+],103.3790211,3.17776219702637e-05,EC00035
103.086571033367,C00064,M-CO2+H[1+],19.89772088,5.43340298975181e-06,EC00036
111.055282484918,C00064,M-H4O2+H[1+],117.3029105,0.000106018148002818,EC00035
119.081674252043,C00064,M-CO+H[1+],249.0992009,0.000297785273019713,EC00037
129.065800747757,C00064,M-H2O+H[1+],44.1937214,2.42809870201199e-05,EC00038
130.049874013457,C00064,M-NH3+H[1+],106.0217565,2.45331298742713e-06,EC00035
