"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Aspartate and asparagine metabolism","109","109","18","9.226","0.0011036","0.0026446","0.0071848","6","6e-04","P1","EC00019;EC000263;EC000328;EC000257;EC000832;EC000482;EC000541;EC0001082;EC000658;EC000214;EC000846;EC000245;EC00035;EC000542;EC000543;EC000452;EC000359;EC00024"
"Arginine and Proline Metabolism","53","53","10","4.486","0.0059681","0.016875","0.0072829","712","0.0712","P2","EC00019;EC000646;EC000647;EC000541;EC000542;EC000543;EC000257;EC00035;EC000849;EC000245"
"Glutathione Metabolism","19","19","5","1.6082","0.012501","0.052399","0.007417","0","0","P3","EC000541;EC000542;EC000543;EC00019;EC000658"
"Urea cycle/amino group metabolism","92","92","12","7.7871","0.046904","0.088459","0.008168","6576","0.6576","P4","EC00019;EC000511;EC000646;EC000359;EC000263;EC00024;EC000214;EC0001129;EC000257;EC000486;EC000192;EC000245"
"Glutamate metabolism","19","19","4","1.6082","0.054115","0.17563","0.0083356","13","0.0013","P5","EC00019;EC000214;EC00035;EC000646"
"Beta-Alanine metabolism","20","20","4","1.6928","0.06373","0.19573","0.0085648","0","0","P6","EC00019;EC000359;EC000214;EC00093"
"Xenobiotics metabolism","47","47","7","3.9782","0.066521","0.14742","0.0086326","269","0.0269","P7","EC000842;EC000581;EC000945;EC000990;EC000991;EC000880;EC000967"
"Histidine metabolism","38","38","6","3.2164","0.068767","0.16291","0.0086876","927","0.0927","P8","EC00019;EC000654;EC000266;EC000267;EC000370;EC00093"
"Pyruvate Metabolism","6","6","2","0.50785","0.07331","0.38274","0.0087999","300","0.03","P9","EC00074;EC00024"
"Alanine and Aspartate Metabolism","21","21","4","1.7775","0.074182","0.21637","0.0088217","1329","0.1329","P10","EC00019;EC00035;EC000446;EC00024"
"Aminosugars metabolism","30","30","5","2.5393","0.077513","0.19553","0.0089053","13","0.0013","P11","EC00019;EC00096;EC00035;EC000226;EC00024"
"Linoleate metabolism","43","43","6","3.6396","0.11112","0.23249","0.0097984","7395","0.7395","P12","EC0001096;EC000707;EC000922;EC000975;EC000717;EC000517"
"Glyoxylate and Dicarboxylate Metabolism","9","9","2","0.76178","0.15116","0.51549","0.010991","1731","0.1731","P13","EC00074;EC00024"
"Limonene and pinene degradation","9","9","2","0.76178","0.15116","0.51549","0.010991","6343","0.6343","P14","EC0001267;EC000577"
"Fructose and mannose metabolism","18","18","3","1.5236","0.15971","0.41017","0.011266","952","0.0952","P15","EC00074;EC000379;EC000613"
"Vitamin B9 (folate) metabolism","10","10","2","0.84642","0.17975","0.55312","0.011939","932","0.0932","P16","EC00019;EC000446"
"Nitrogen metabolism","10","10","2","0.84642","0.17975","0.55312","0.011939","4396","0.4396","P17","EC00019;EC00035"
"Tyrosine metabolism","151","151","15","12.781","0.18557","0.26562","0.012143","9927","0.9927","P18","EC00019;EC000339;EC000444;EC000192;EC000308;EC000910;EC000125;EC00035;EC000772;EC000225;EC000927;EC000511;EC000555;EC000782;EC000788"
"Valine, leucine and isoleucine degradation","30","30","4","2.5393","0.2006","0.41153","0.012687","21","0.0021","P19","EC00019;EC000720;EC000160;EC000214"
"Squalene and cholesterol biosynthesis","11","11","2","0.93106","0.20908","0.58786","0.013005","56","0.0056","P20","EC000250;EC000252"
"Proteoglycan biosynthesis","3","3","1","0.25393","0.21616","1","0.013278","33","0.0033","P21","EC00024"
"Galactose metabolism","23","23","3","1.9468","0.26401","0.54062","0.015295","614","0.0614","P22","EC00096;EC000379;EC00074"
"Omega-3 fatty acid metabolism","13","13","2","1.1003","0.26883","0.64951","0.015516","74","0.0074","P23","EC0001012;EC000717"
"C5-Branched dibasic acid metabolism","5","5","1","0.42321","0.33386","1","0.018876","0","0","P24","EC000284"
"Hexose phosphorylation","16","16","2","1.3543","0.35804","0.72528","0.020326","6139","0.6139","P25","EC000125;EC000379"
"Parathio degradation","6","6","1","0.50785","0.38597","1","0.022161","398","0.0398","P26","EC000896"
"Caffeine metabolism","6","6","1","0.50785","0.38597","1","0.022161","1184","0.1184","P27","EC000910"
"Porphyrin metabolism","17","17","2","1.4389","0.38703","0.74674","0.022234","2111","0.2111","P28","EC000257;EC000412"
"Butanoate metabolism","42","42","4","3.555","0.41667","0.64257","0.024397","2644","0.2644","P29","EC00019;EC000768;EC00024;EC000214"
"Hyaluronan Metabolism","7","7","1","0.5925","0.43404","1","0.025776","612","0.0612","P30","EC00096"
"Arachidonic acid metabolism","19","19","2","1.6082","0.4432","0.78481","0.026538","728","0.0728","P31","EC00019;EC000712"
"Glycine, serine, alanine and threonine metabolism","69","69","6","5.8403","0.45382","0.62855","0.027456","2924","0.2924","P32","EC00019;EC000214;EC0001073;EC000257;EC000555;EC00024"
"Putative anti-Inflammatory metabolites formation from EPA","8","8","1","0.67714","0.47838","1","0.029721","331","0.0331","P33","EC00019"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","34","34","3","2.8778","0.50238","0.75324","0.032146","5967","0.5967","P34","EC00019;EC00035;EC000470"
"Glycerophospholipid metabolism","60","60","5","5.0785","0.50864","0.69553","0.032817","1582","0.1582","P35","EC000712;EC00064;EC000231;EC00074;EC00024"
"Vitamin D3 (cholecalciferol) metabolism","9","9","1","0.76178","0.51929","1","0.033994","482","0.0482","P36","EC0001108"
"Methionine and cysteine metabolism","49","49","4","4.1475","0.54006","0.74488","0.03644","679","0.0679","P37","EC00019;EC000555;EC000590;EC00024"
"Sialic acid metabolism","23","23","2","1.9468","0.54645","0.84476","0.037233","646","0.0646","P38","EC00096;EC000226"
"Carbon fixation","10","10","1","0.84642","0.55701","1","0.03859","4449","0.4449","P39","EC00074"
"Keratan sulfate degradation","11","11","1","0.93106","0.59181","1","0.043502","5418","0.5418","P40","EC00096"
"Alkaloid biosynthesis II","11","11","1","0.93106","0.59181","1","0.043502","4608","0.4608","P41","EC000957"
"Heparan sulfate degradation","11","11","1","0.93106","0.59181","1","0.043502","4924","0.4924","P42","EC00096"
"TCA cycle","11","11","1","0.93106","0.59181","1","0.043502","2812","0.2812","P43","EC00024"
"N-Glycan Degradation","11","11","1","0.93106","0.59181","1","0.043502","5906","0.5906","P44","EC00096"
"Glycolysis and Gluconeogenesis","27","27","2","2.2853","0.63579","0.88814","0.050847","4912","0.4912","P45","EC00074;EC00024"
"Ubiquinone Biosynthesis","13","13","1","1.1003","0.65348","1","0.054229","8583","0.8583","P46","EC000125"
"Vitamin B6 (pyridoxine) metabolism","14","14","1","1.185","0.68076","1","0.060021","9501","0.9501","P47","EC000192"
"Carnitine shuttle","32","32","2","2.7086","0.7276","0.92585","0.071954","67","0.0067","P48","EC0001265;EC0001272"
"Pyrimidine metabolism","63","63","4","5.3325","0.74022","0.87965","0.075693","3709","0.3709","P49","EC00035;EC00019;EC000410;EC000214"
"Phosphatidylinositol phosphate metabolism","18","18","1","1.5236","0.7702","1","0.085695","1934","0.1934","P50","EC00024"
"Drug metabolism - other enzymes","18","18","1","1.5236","0.7702","1","0.085695","3510","0.351","P51","EC000938"
"C21-steroid hormone biosynthesis and metabolism","52","52","3","4.4014","0.78722","0.92201","0.092197","4720","0.472","P52","EC0001158;EC000231;EC00024"
"Vitamin A (retinol) metabolism","19","19","1","1.6082","0.78837","1","0.092661","3950","0.395","P53","EC000712"
"Tryptophan metabolism","113","113","7","9.5646","0.79853","0.88739","0.09691","9734","0.9734","P54","EC00019;EC000204;EC000812;EC000567;EC000556;EC000491;EC000805"
"Bile acid biosynthesis","24","24","1","2.0314","0.85995","1","0.12995","2503","0.2503","P55","EC000353"
"Lysine metabolism","44","44","2","3.7243","0.87169","0.97256","0.13825","9981","0.9981","P56","EC00019;EC000245"
"Purine metabolism","45","45","2","3.8089","0.87984","0.97475","0.14453","6713","0.6713","P57","EC00019;EC00035"
"Prostaglandin formation from arachidonate","27","27","1","2.2853","0.89077","1","0.15375","3932","0.3932","P58","EC0001202"
"Pentose phosphate pathway","27","27","1","2.2853","0.89077","1","0.15375","6234","0.6234","P59","EC00074"
"Androgen and estrogen biosynthesis and metabolism","28","28","1","2.37","0.89947","1","0.16183","7838","0.7838","P60","EC000737"
"Drug metabolism - cytochrome P450","34","34","1","2.8778","0.93899","1","0.21115","9719","0.9719","P61","EC000915"
