"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Carnitine shuttle","30","30","8","3.3558","0.0084382","0.027021","0.0068526","9","9e-04","P1","EC0001125;EC00012;EC0001137;EC0001134;EC0001133;EC0001122;EC0001152;EC0001146"
"Histidine metabolism","32","32","8","3.5796","0.012702","0.037607","0.0069388","1268","0.1268","P2","EC000591;EC000343;EC000345;EC000756;EC00076;EC000665;EC000666;EC000213"
"Aspartate and asparagine metabolism","83","83","15","9.2845","0.017884","0.035797","0.0070451","669","0.0669","P3","EC00088;EC000237;EC000238;EC000236;EC000758;EC000411;EC000169;EC000284;EC000222;EC00035;EC000519;EC000553;EC000555;EC000417;EC00025"
"Urea cycle/amino group metabolism","76","76","14","8.5014","0.018755","0.038443","0.0070631","988","0.0988","P4","EC00088;EC000349;EC000553;EC000555;EC000237;EC000238;EC000305;EC000169;EC000284;EC000162;EC000236;EC000438;EC000440;EC000222"
"Sialic acid metabolism","14","14","4","1.5661","0.047642","0.16531","0.0076901","68","0.0068","P5","EC00080;EC00081;EC000678;EC00029"
"Hyaluronan Metabolism","4","4","2","0.44744","0.055145","0.35102","0.0078625","348","0.0348","P6","EC00080;EC00081"
"Pyrimidine metabolism","44","44","8","4.9219","0.074588","0.15432","0.0083288","231","0.0231","P7","EC00035;EC00029;EC000376;EC000377;EC000225;EC00058;EC000124;EC000373"
"Lysine metabolism","47","47","8","5.2575","0.10196","0.19704","0.0090363","2598","0.2598","P8","EC000246;EC000696;EC000553;EC000555;EC00025;EC000429;EC000222;EC000444"
"Glycosphingolipid biosynthesis - lactoseries","1","1","1","0.11186","0.1032","1","0.0090698","0","0","P9","EC00029"
"Blood Group Biosynthesis","1","1","1","0.11186","0.1032","1","0.0090698","0","0","P10","EC00029"
"Glycosphingolipid biosynthesis - neolactoseries","1","1","1","0.11186","0.1032","1","0.0090698","0","0","P11","EC00029"
"Keratan sulfate biosynthesis","1","1","1","0.11186","0.1032","1","0.0090698","0","0","P12","EC00029"
"O-Glycan biosynthesis","1","1","1","0.11186","0.1032","1","0.0090698","0","0","P13","EC00029"
"Porphyrin metabolism","18","18","4","2.0135","0.10573","0.2773","0.0091386","150","0.015","P14","EC000236;EC000384;EC000226;EC000258"
"N-Glycan Degradation","6","6","2","0.67117","0.12019","0.4775","0.009543","1589","0.1589","P15","EC00080;EC00081"
"Ascorbate (Vitamin C) and Aldarate Metabolism","19","19","4","2.1254","0.12372","0.30665","0.0096447","1047","0.1047","P16","EC000299;EC000100;EC000356;EC000226"
"Aminosugars metabolism","19","19","4","2.1254","0.12372","0.30665","0.0096447","339","0.0339","P17","EC00080;EC00081;EC00035;EC00029"
"N-Glycan biosynthesis","7","7","2","0.78303","0.15726","0.53125","0.010671","224","0.0224","P18","EC00058;EC00029"
"Keratan sulfate degradation","7","7","2","0.78303","0.15726","0.53125","0.010671","2727","0.2727","P19","EC00080;EC00081"
"Heparan sulfate degradation","7","7","2","0.78303","0.15726","0.53125","0.010671","958","0.0958","P20","EC00080;EC00081"
"Arginine and Proline Metabolism","44","44","7","4.9219","0.15944","0.29029","0.010741","1466","0.1466","P21","EC00088;EC000553;EC000555;EC000284;EC000236;EC00035;EC000222"
"Galactose metabolism","15","15","3","1.6779","0.19555","0.46426","0.011988","2361","0.2361","P22","EC000678;EC00080;EC00081"
"Glycosphingolipid biosynthesis - globoseries","2","2","1","0.22372","0.19584","1","0.011998","588","0.0588","P23","EC00029"
"Drug metabolism - other enzymes","16","16","3","1.7898","0.22366","0.49919","0.013067","1412","0.1412","P24","EC000940;EC000820;EC000814"
"Glycine, serine, alanine and threonine metabolism","49","49","7","5.4812","0.23462","0.38595","0.013516","959","0.0959","P25","EC000985;EC000112;EC000244;EC000162;EC000236;EC000781;EC00067"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","25","25","4","2.7965","0.25298","0.47992","0.014307","3852","0.3852","P26","EC00035;EC000249;EC000505;EC00095"
"D4&E4-neuroprostanes formation","3","3","1","0.33558","0.27898","1","0.015514","310","0.031","P27","EC000226"
"Starch and Sucrose Metabolism","3","3","1","0.33558","0.27898","1","0.015514","3431","0.3431","P28","EC00058"
"Beta-Alanine metabolism","18","18","3","2.0135","0.28186","0.56456","0.015655","1228","0.1228","P29","EC00076;EC000169;EC000284"
"Alanine and Aspartate Metabolism","20","20","3","2.2372","0.34126","0.62365","0.018891","7448","0.7448","P30","EC000388;EC00035;EC000505"
"Vitamin H (biotin) metabolism","4","4","1","0.44744","0.35359","1","0.019651","2531","0.2531","P31","EC00025"
"3-oxo-10R-octadecatrienoate beta-oxidation","5","5","1","0.55931","0.42054","1","0.024429","917","0.0917","P32","EC0001067"
"Caffeine metabolism","5","5","1","0.55931","0.42054","1","0.024429","7815","0.7815","P33","EC000910"
"Lipoate metabolism","5","5","1","0.55931","0.42054","1","0.024429","5461","0.5461","P34","EC00025"
"Phytanic acid peroxisomal oxidation","5","5","1","0.55931","0.42054","1","0.024429","261","0.0261","P35","EC000463"
"Phosphatidylinositol phosphate metabolism","15","15","2","1.6779","0.46898","0.80402","0.028708","3877","0.3877","P36","EC000620;EC00029"
"Glycosphingolipid biosynthesis - ganglioseries","6","6","1","0.67117","0.48061","1","0.029859","1628","0.1628","P37","EC00029"
"Pentose and Glucuronate Interconversions","6","6","1","0.67117","0.48061","1","0.029859","419","0.0419","P38","EC00058"
"TCA cycle","16","16","2","1.7898","0.50402","0.82434","0.03234","1460","0.146","P39","EC000100;EC000226"
"Bile acid biosynthesis","28","28","3","3.1321","0.56536","0.7996","0.040067","2666","0.2666","P40","EC000486;EC000685;EC000467"
"Nitrogen metabolism","8","8","1","0.89489","0.58284","1","0.042653","7443","0.7443","P41","EC00035"
"Butanoate metabolism","29","29","3","3.244","0.59016","0.81557","0.043795","5108","0.5108","P42","EC000112;EC000566;EC000544"
"Androgen and estrogen biosynthesis and metabolism","30","30","3","3.3558","0.61404","0.83041","0.047784","5206","0.5206","P43","EC000670;EC000391;EC000693"
"Biopterin metabolism","9","9","1","1.0068","0.6262","1","0.049985","6468","0.6468","P44","EC00044"
"Drug metabolism - cytochrome P450","32","32","3","3.5796","0.65897","0.85692","0.05656","6517","0.6517","P45","EC000921;EC000920;EC000939"
"Selenoamino acid metabolism","10","10","1","1.1186","0.66509","1","0.057904","1430","0.143","P46","EC000152"
"Vitamin E metabolism","22","22","2","2.4609","0.68127","0.90913","0.061654","3613","0.3613","P47","EC000299;EC0001114"
"Ubiquinone Biosynthesis","11","11","1","1.2305","0.69996","1","0.066376","4199","0.4199","P48","EC00097"
"Glycosphingolipid metabolism","23","23","2","2.5728","0.70525","0.91861","0.067795","7122","0.7122","P49","EC000293;EC00029"
"Leukotriene metabolism","24","24","2","2.6847","0.72773","0.92711","0.07428","5237","0.5237","P50","EC0001102;EC000398"
"Vitamin D3 (cholecalciferol) metabolism","12","12","1","1.3423","0.73123","1","0.075361","5281","0.5281","P51","EC000467"
"Vitamin B9 (folate) metabolism","12","12","1","1.3423","0.73123","1","0.075361","6920","0.692","P52","EC000225"
"Limonene and pinene degradation","12","12","1","1.3423","0.73123","1","0.075361","9804","0.9804","P53","EC000524"
"Glutamate metabolism","12","12","1","1.3423","0.73123","1","0.075361","7793","0.7793","P54","EC00035"
"Linoleate metabolism","47","47","4","5.2575","0.73409","0.87758","0.076258","9448","0.9448","P55","EC000994;EC000645;EC000872;EC000871"
"Valine, leucine and isoleucine degradation","25","25","2","2.7965","0.74876","0.93473","0.081096","4631","0.4631","P56","EC00072;EC000112"
"Fatty Acid Metabolism","26","26","2","2.9084","0.76839","0.94156","0.088231","4658","0.4658","P57","EC000519;EC000463"
"Prostaglandin formation from arachidonate","26","26","2","2.9084","0.76839","0.94156","0.088231","2617","0.2617","P58","EC000226;EC000398"
"Glycerophospholipid metabolism","50","50","4","5.5931","0.77841","0.90275","0.092202","5369","0.5369","P59","EC000429;EC000293;EC00067;EC00029"
"Squalene and cholesterol biosynthesis","17","17","1","1.9016","0.84523","1","0.12645","3937","0.3937","P60","EC000191"
"Tyrosine metabolism","125","125","10","13.983","0.85689","0.91554","0.13431","9728","0.9728","P61","EC000318;EC000226;EC000413;EC00044;EC000715;EC00035;EC000293;EC000719;EC000716;EC000299"
"C21-steroid hormone biosynthesis and metabolism","58","58","4","6.4879","0.8686","0.94878","0.143","4397","0.4397","P62","EC000391;EC000258;EC000693;EC000670"
"Xenobiotics metabolism","46","46","3","5.1456","0.87199","0.95936","0.14568","9050","0.905","P63","EC000767;EC000850;EC000886"
"Fatty acid activation","36","36","2","4.027","0.90184","0.98076","0.17338","5322","0.5322","P64","EC000463;EC0001128"
"Arachidonic acid metabolism","27","27","1","3.0203","0.94908","1","0.24326","8260","0.826","P65","EC000398"
"Methionine and cysteine metabolism","28","28","1","3.1321","0.95447","1","0.25509","9135","0.9135","P66","EC000262"
"De novo fatty acid biosynthesis","30","30","1","3.3558","0.9636","1","0.27857","8686","0.8686","P67","EC000463"
"Purine metabolism","38","38","1","4.2507","0.9852","1","0.36846","9657","0.9657","P68","EC00035"
"Tryptophan metabolism","93","93","1","10.403","0.99997","1","0.76418","10000","1","P69","EC000734"
