Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
321.237763851902,12harachd,M(C13)+H[1+],256.375500210588,0.00023761486801277,EC0001
299.201547822935,13-cis-retn,M[1+],203.626095887009,0.000436822935000691,EC0002
160.061524708329,1mncam,M+Na[1+],20.4785122340535,0.000761241558990378,EC0003
160.061531612488,1mncam,M+Na[1+],188.327479979968,0.000768145718012647,EC0004
433.344319499047,44mctr,M+Na[1+],270.361727556933,0.000185032276988295,EC0005
200.972656815793,4nphsf,M-H2O+H[1+],24.0063017421832,4.77928229827285e-05,EC0006
201.957598279478,4nphsf,M-NH3+H[1+],265.355723079392,0.000889256507974778,EC0007
276.942640203549,4nphsf,M+NaCl[1+],142.45392285925,0.000831180578984458,EC0008
192.030274792226,56dihindlcrbxlt,M[1+],18.5800912708062,0.000592106026005013,EC0009
423.275356926234,5adtststeroneglc,M-CO2+H[1+],126.224471892857,0.00122745946401892,EC00010
449.251829669019,5adtststeroneglc,M-H2O+H[1+],147.608287498652,0.00149979775096654,EC00011
369.173742668484,5adtststerones,M[1+],64.7832683222166,0.000172937084016667,EC00012
404.797100185527,7thf,M+3H[3+],67.502470170355,0.00184377619029874,EC00013
331.264162916829,adrn,M[1+],233.385896341924,0.000457549129009749,EC00014
423.275356926234,ahandrostanglc,M-CO2+H[1+],126.224471892857,0.00122745946401892,EC00010
449.251829669019,ahandrostanglc,M-H2O+H[1+],147.608287498652,0.00149979775096654,EC00011
210.121781743929,alpam,M-CO+H[1+],96.6851170000358,2.44094410106754e-05,EC00015
423.275356926234,andrstrnglc,M-CO2+H[1+],126.224471892857,0.00122745946401892,EC00010
449.251829669019,andrstrnglc,M-H2O+H[1+],147.608287498652,0.00149979775096654,EC00011
229.208309767317,arachcrn,M(C13)+2H[2+],213.550076709914,0.000602800546971594,EC00016
431.316582688265,arachdcrn,M-NH3+H[1+],170.738725635587,0.000947283394964415,EC00017
447.332713413943,arachdcrn,M[1+],245.869326333206,0.00214552415701519,EC00018
404.00327431434,C00015,M[1+],40.7331593895795,0.00107431433997363,EC00019
248.032901938193,C00018,M+H[1+],24.262937808097,0.00102547142299159,EC00020
150.055963882568,C00025,M(S34)+H[1+],180.690382140543,0.000312584202021071,EC00021
181.070132553775,C00031,M+H[1+],23.9198435786364,0.000543912994999118,EC00022
128.010304211164,C00041,M+K[1+],73.4050096085495,0.000172255606003091,EC00023
174.01565364762,C00041,M+HCOOK[1+],285.928057184558,0.000622819150009946,EC00024
509.988166749645,C00053,M(S34)+H[1+],40.7589029615183,0.00110971712496166,EC00025
233.078044177983,C00062,M+NaCl[1+],20.3444801424292,0.000467711212991162,EC00026
205.035310972134,C00064,M+NaCl[1+],271.793078336912,0.000334505364008919,EC00027
205.03535345409,C00064,M+NaCl[1+],189.504276169923,0.000376987320009903,EC00028
143.023600334512,C00068,M(C13)+3H[3+],31.1727248360995,0.000257201075328339,EC00029
172.040350294459,C00073,M+Na[1+],203.56760535087,7.38276889933331e-05,EC00030
172.040478856191,C00073,M+Na[1+],71.3734610945616,0.000202389420991267,EC00031
206.944389153876,C00074,M+K[1+],173.865235991924,0.000787312894033221,EC00032
206.944442695843,C00074,M+K[1+],88.6150751087909,0.000733770927013211,EC00033
191.05619125703,C00077,M+NaCl[1+],263.149128255452,0.000414790260009568,EC00034
188.071544753259,C00078,M-NH3+H[1+],24.8023267823605,0.00086828648898063,EC00035
436.96416878496,C00081,M-C3H4O2+H[1+],31.7413994707917,0.00180768181002122,EC00036
480.990389362485,C00081,M-CO+H[1+],31.4137289920326,0.00168710428499708,EC00036
508.985426150459,C00081,M+H[1+],37.304661429968,0.00165031631104284,EC00036
509.988166749645,C00081,M(C13)+H[1+],40.7589029615183,0.0023097171250015,EC00036
566.943977434401,C00081,M+NaCl[1+],26.6076235947871,0.00169903236906066,EC00036
576.972961986913,C00081,M+HCOONa[1+],41.4331720154105,0.00151447985706454,EC00036
592.946624250266,C00081,M+HCOOK[1+],40.6605030828279,0.00175221650397361,EC00036
217.04642462899,C00085,M-CO2+H[1+],135.183503583132,0.000751837780001097,EC00037
344.998215183871,C00085,M+HCOOK[1+],19.9910133980997,6.12828989687841e-05,EC00038
435.07481122776,C00091,M(C13)+2H[2+],25.3003216402899,0.000184760989952792,EC00039
217.04642462899,C00092,M-CO2+H[1+],135.183503583132,0.000751837780001097,EC00037
344.998215183871,C00092,M+HCOOK[1+],19.9910133980997,6.12828989687841e-05,EC00038
129.030609685399,C00093,M-CO2+H[1+],276.324905499346,0.000566781370991976,EC00040
145.025455329044,C00093,M-CO+H[1+],273.945484633676,0.000521137725996823,EC00040
155.009776204618,C00093,M-H2O+H[1+],233.240835354343,0.000600262152005371,EC00041
155.009918947739,C00093,M-H2O+H[1+],119.642801303198,0.000457519030987896,EC00042
181.070132553775,C00095,M+H[1+],23.9198435786364,0.000543912994999118,EC00022
128.010304211164,C00099,M+K[1+],73.4050096085495,0.000172255606003091,EC00023
174.01565364762,C00099,M+HCOOK[1+],285.928057184558,0.000622819150009946,EC00024
217.04642462899,C00103,M-CO2+H[1+],135.183503583132,0.000751837780001097,EC00037
344.998215183871,C00103,M+HCOOK[1+],19.9910133980997,6.12828989687841e-05,EC00038
144.012501401392,C00104,M(C13)+3H[3+],24.1421982721186,0.000308398711325708,EC00043
466.974642514241,C00104,M+K[1+],30.9498238834621,0.00153395252897326,EC00043
163.024841764399,C00105,M+2H[2+],19.4551385452124,0.000384702371007961,EC00044
