m.z,p.value,t.score,r.t
100.4885352,0.047450096291794974,-2.0010812858110825,243.4545655
100.828156,0.18350424240129554,1.337109071784925,400.688067
100.925892,0.4810706756046075,-0.7065989072547831,275.9735288
100.9259071,0.5644163001378694,-0.5777624168965568,19.78972342
100.9334104,0.39735156492238677,0.8491416348321065,402.0091973
100.9461023,0.7104955011662564,0.3719978678829601,392.1849323
100.9646256,0.8926921930256315,-0.13516080647234752,27.64681592
100.9855617,0.6778078239062029,-0.41638759406696657,28.78802446
101.0243744,0.42166514826692647,0.8060668395088665,436.8926241
101.02441,0.08284931533032584,1.7477561597009117,21.328808510000002
101.0607707,0.6011053403429778,-0.5240845347400048,26.70867785
101.3230639,0.44689754434127094,-0.7628951203357727,406.7858972
101.6450894,0.03306510775807893,2.1540679305317876,426.4050694
101.9239879,0.2155500482810129,-1.2444658872863679,20.0045265
101.9241296,0.36094659114171623,0.9167723822703535,442.7466218
101.9241475,0.7273637251844495,-0.34938175644480607,278.4874102
1010.780709,0.9308351022563287,0.086961243072558,334.7918142
1011.78415,0.702643178233856,-0.38259086423327116,334.7612936
1012.796358,0.42960437141510754,-0.7923238284570565,368.7530317
1013.799259,0.4547523428197978,-0.749745492341884,368.3487029
1014.807297,0.48786829665904463,-0.6956692256636311,368.2838212
1015.813893,0.955373049739257,0.05606801429777143,368.308146
102.0560203,0.1208975599223825,1.5611644217284013,19.57774109
102.956791,0.4261214118464802,0.7983343058407026,20.96292899
1026.812444,0.7024837383018514,0.3828063972024661,392.4380653
103.003693,0.4089059865395138,-0.8284793217078307,60.02280773
103.0036991,0.905782209362359,0.11858953613393299,13.77212684
103.0221847,0.5011992924821449,-0.6744728271702951,43.5316762
103.0400836,0.2591694907669681,1.1332728518504909,20.16245306
103.9601864,0.5855626949682169,0.5466301883091962,21.3939909
1034.780991,0.8251829035724014,-0.22132641568923953,331.2477174
1035.665091,0.6618640135144767,0.43833697912403896,316.114548
1036.66807,0.5331687027575519,0.624831141137366,315.8283715
1036.795791,0.7321812043641505,-0.3429561032181172,368.4406794
1037.670821,0.5117175812275121,0.6579612764089899,315.5094339
1037.799877,0.9813714781159631,0.02339413801903341,368.4617732
1038.674015,0.5454764111036914,0.6061313286250175,315.0957457
1038.810595,0.6654698377458745,-0.4333546998681562,373.8959366
1039.81487,0.6882498727595022,-0.4021216144146037,374.13412
104.0352957,0.9276958465428291,-0.09091897598554334,19.77819938
104.0434695,0.12680720851333208,1.5365832992668844,20.00847103
104.3186653,0.7388590093980378,0.3340725633262967,400.2902067
104.3325479,0.6667291423990276,0.4316172328916353,401.0134779
104.457748,0.9749784756417851,0.03142494463642961,400.1769943
104.5832773,0.6815084325548951,0.411322193479921,400.6582854
104.9538541,0.3038906502107123,1.0321778246260083,20.92404153
1040.825322,0.8113744941013264,-0.23913516960827055,370.2565692
