"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Lysine metabolism","47","47","4","3.9884","0.51022","0.72133","0.043046","7969","0.7969","P48","EC000247;EC000554;EC00013;EC000223"
"Omega-6 fatty acid metabolism","9","9","1","0.76374","0.5212","1","0.044583","543","0.0543","P49","EC000128"
"Urea cycle/amino group metabolism","76","76","6","6.4494","0.55776","0.71853","0.050197","8916","0.8916","P50","EC000457;EC000554;EC00038;EC00013;EC000347;EC000223"
"Leukotriene metabolism","24","24","2","2.0366","0.57313","0.85835","0.052809","3449","0.3449","P51","EC000398;EC000128"
"Glycolysis and Gluconeogenesis","11","11","1","0.93346","0.59383","1","0.056588","4275","0.4275","P52","EC00020"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","25","25","2","2.1215","0.59595","0.86955","0.056994","8087","0.8087","P53","EC00035;EC000431"
"Fatty Acid Metabolism","26","26","2","2.2064","0.61786","0.87988","0.061399","3077","0.3077","P54","EC000138;EC000450"
"Prostaglandin formation from arachidonate","26","26","2","2.2064","0.61786","0.87988","0.061399","1187","0.1187","P55","EC000398;EC000128"
"Fatty acid oxidation","12","12","1","1.0183","0.62594","1","0.06313","767","0.0767","P56","EC00013"
"Glutamate metabolism","12","12","1","1.0183","0.62594","1","0.06313","5555","0.5555","P57","EC00035"
"Aspartate and asparagine metabolism","83","83","6","7.0434","0.64788","0.78944","0.068142","8824","0.8824","P58","EC00013;EC000436;EC000518;EC000223;EC00035;EC000554"
"Hexose phosphorylation","13","13","1","1.1032","0.65554","1","0.07001","8988","0.8988","P59","EC00020"
"Vitamin A (retinol) metabolism","13","13","1","1.1032","0.65554","1","0.07001","2549","0.2549","P60","EC000339"
"Methionine and cysteine metabolism","28","28","2","2.3761","0.65896","0.89817","0.070863","4989","0.4989","P61","EC000262;EC00038"
"Tyrosine metabolism","125","125","9","10.608","0.66358","0.77521","0.072038","9414","0.9414","P62","EC000347;EC000512;EC0001073;EC00046;EC00049;EC00035;EC000293;EC000457;EC000719"
"Butanoate metabolism","29","29","2","2.4609","0.67816","0.90625","0.075915","6041","0.6041","P63","EC000114;EC00013"
