"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Carbon fixation","10","10","2","1.5445","0.42702","0.78349","0.064832","4300","0.43","P35","EC00075;EC00046"
"Lysine metabolism","44","44","7","6.7958","0.43794","0.60672","0.066576","9927","0.9927","P36","EC00018;EC00019;EC00027;EC00028;EC000467;EC000243;EC000244"
"Porphyrin metabolism","17","17","3","2.6257","0.44342","0.71729","0.067471","2755","0.2755","P37","EC00017;EC000258;EC000412"
"R Group Synthesis","4","4","1","0.6178","0.45892","1","0.070086","0","0","P38","EC000579"
"Di-unsaturated fatty acid beta-oxidation","4","4","1","0.6178","0.45892","1","0.070086","3568","0.3568","P39","EC000513"
"TCA cycle","11","11","2","1.699","0.47811","0.81434","0.073496","1160","0.116","P40","EC000109;EC00046"
"C5-Branched dibasic acid metabolism","5","5","1","0.77225","0.53609","1","0.085124","0","0","P41","EC000285"
"Prostaglandin formation from arachidonate","27","27","4","4.1702","0.54917","0.75887","0.088056","305","0.0305","P42","EC000429;EC000430;EC0001114;EC000338"
"Methionine and cysteine metabolism","49","49","7","7.5681","0.55913","0.71403","0.090378","423","0.0423","P43","EC00018;EC00019;EC000158;EC000555;EC000128;EC0001166;EC000839"
"Omega-3 fatty acid metabolism","13","13","2","2.0079","0.57148","0.86354","0.093365","234","0.0234","P44","EC000716;EC000892"
"Parathio degradation","6","6","1","0.9267","0.60231","1","0.1014","2231","0.2231","P45","EC000398"
"Caffeine metabolism","6","6","1","0.9267","0.60231","1","0.1014","5511","0.5511","P46","EC0001015"
"De novo fatty acid biosynthesis","29","29","4","4.4791","0.60892","0.80136","0.10323","274","0.0274","P47","EC000579;EC000892;EC000587;EC000513"
"Purine metabolism","45","45","6","6.9503","0.63569","0.78644","0.11113","4122","0.4122","P48","EC00018;EC00019;EC00046;EC000351;EC00035;EC000151"
