m.z,r.t,beta,t.score,p.value,conf.low,conf.high,mode
85.02965565,26.35675378,-0.0630830727917151,-0.470254723637957,0.638532693820537,-0.327126859707585,0.200960714124154,negative
87.00887596,159.3062312,0.132153673582707,0.981560700743837,0.327148818145132,-0.132853943968612,0.397161291134026,negative
87.00894226,25.97310346,0.0137250992662692,0.100362010184446,0.920127491957255,-0.255454673687281,0.28290487221982,negative
87.9728756,17.91550247,-0.109027599917433,-0.918823250304653,0.358964994283999,-0.342588830763852,0.124533630928985,negative
88.0406022,24.71106313,-0.140529071678774,-1.02120900639177,0.308021485635296,-0.411390909399255,0.130332766041706,negative
89.01479779,282.7259782,-0.113334430339632,-0.847634046553163,0.397353079287793,-0.3765125339635,0.149843673284236,negative
89.02463145,20.39716283,-0.0269953280886107,-0.250294787675502,0.802539718757019,-0.239287061953553,0.185296405776331,negative
89.04308593,26.6889785,-0.265375274181524,-1.95899636636802,0.0510880645522315,-0.532013926209693,0.00126337784664532,negative
89.1758168,224.0482627,-0.0966596702049384,-0.741643844977456,0.458913855826203,-0.353194413874887,0.15987507346501,negative
89.96992678,21.56350716,-0.10130291615441,-0.83186924887416,0.406179206845003,-0.341000224222131,0.138394391913311,negative
90.01003861,291.8878538,-0.0604478923280903,-0.446803915357156,0.655355976250657,-0.326741334899472,0.205845550243292,negative
90.01900793,27.27807931,-0.187413820838662,-1.41334484236342,0.158645611545994,-0.448419379156515,0.0735917374791908,negative
90.02799268,24.13866101,-0.0428109567459602,-0.409724671635857,0.682315716905889,-0.248475344696832,0.162853431204911,negative
90.9360066,76.44666139,0.171122000497916,1.35503338063235,0.176479962039682,-0.0774499581488614,0.419693959144693,negative
91.02220762,243.9363387,-0.204957520991031,-1.56531495760065,0.118618719008874,-0.462683622226124,0.0527685802440612,negative
92.03466914,27.15176007,-0.235235711664153,-1.80746972348318,0.0717433792216032,-0.491405849560473,0.020934426232167,negative
92.9281764,23.40584596,0.282028335468648,2.17453950868555,0.0304870992683873,0.0267454375584254,0.53731123337887,negative
93.00963565,80.35810083,0.197870081495419,1.46605171260745,0.143736636595357,-0.0677905023170588,0.463530665307896,negative
93.00970517,288.3918571,0.161688290218472,1.26148237822863,0.208166627838167,-0.0905980054719882,0.413974585908932,negative
93.03476237,25.87203754,0.0435292544767018,0.339732096546633,0.734308517097626,-0.208668334006736,0.29572684296014,negative
93.04610125,277.0523737,-0.0947995477001635,-0.746775684388421,0.455814578241785,-0.34466854637806,0.155069450977733,negative
94.0049392,287.2349735,0.0592162539790596,0.469684464939261,0.638939623860412,-0.188943308183057,0.307375816141177,negative
94.03007567,274.1657562,0.040072987630304,0.31434583755666,0.753488374939249,-0.210849906519367,0.290995881779975,negative
94.04136165,280.9075166,0.0995774206590095,0.826455634824228,0.409237026271799,-0.137580485434907,0.336735326752926,negative
94.11320513,255.8962829,-0.0346522837561893,-0.26027856776577,0.794836847825519,-0.29670564431277,0.227401076800392,negative
94.92524537,19.58820895,0.277851409571669,2.14328354017548,0.032936830637169,0.0226816200912985,0.533021199052039,negative
94.98075403,168.220799,0.0250238661411008,0.21809110647547,0.827514199448778,-0.200822304923353,0.250870037205554,negative
94.98108643,289.9986493,0.0267836341668842,0.221216546107796,0.825082234563745,-0.211529608895155,0.265096877228923,negative
95.01401806,181.6772829,-0.0291093443742131,-0.21898565271926,0.826817964807331,-0.290754706888288,0.232536018139861,negative
95.01405508,26.67944459,-0.045229907329347,-0.345531703369101,0.729949580172113,-0.30288223868185,0.212422424023156,negative
95.02533638,277.404079,-0.00731969720433315,-0.052881592930739,0.957863297631305,-0.279768476753873,0.265129082345207,negative
95.07026019,296.2765533,0.039098400915483,0.315202050426429,0.75283891318705,-0.205056946932384,0.28325374876335,negative
95.12062975,255.9585718,-0.0571805145803418,-0.505785261191008,0.61339837356198,-0.279705186486111,0.165344157325427,negative
95.67332895,272.8101743,-0.0160325407915791,-0.136119765048997,0.891822700271548,-0.247866708391608,0.21580162680845,negative
95.952428,121.3884256,0.0489007555053512,0.378414132868985,0.705404688640829,-0.205456716919419,0.303258227930121,negative
95.95256921,286.6116026,-0.0224854726364005,-0.175596733648642,0.86073546374382,-0.274532666854551,0.22956172158175,negative
96.00938643,278.1839394,0.113235932626103,0.846237241114707,0.398130372976424,-0.150147471972596,0.376619337224802,negative
