"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Phytanic acid peroxisomal oxidation","5","5","1","0.41466","0.32883","1","0.023706","12","0.0012","P45","EC000953"
"Drug metabolism - other enzymes","16","16","2","1.3269","0.34961","0.71832","0.025222","2544","0.2544","P46","EC000814;EC000815"
"Bile acid biosynthesis","28","28","3","2.3221","0.36344","0.63951","0.02629","1583","0.1583","P47","EC000682;EC000587;EC000330"
"Pentose phosphate pathway","17","17","2","1.4098","0.37823","0.73993","0.027491","1761","0.1761","P48","EC00065;EC00066"
"Propanoate metabolism","6","6","1","0.49759","0.38041","1","0.027673","3071","0.3071","P49","EC000355"
"Androgen and estrogen biosynthesis and metabolism","30","30","3","2.4879","0.4066","0.67745","0.029971","3447","0.3447","P50","EC000669;EC000693;EC0009"
"Ascorbate (Vitamin C) and Aldarate Metabolism","19","19","2","1.5757","0.43382","0.77835","0.032593","3407","0.3407","P51","EC000509;EC00037"
"Putative anti-Inflammatory metabolites formation from EPA","8","8","1","0.66345","0.4721","1","0.036739","1783","0.1783","P52","EC00017"
"Vitamin B5 - CoA biosynthesis from pantothenate","8","8","1","0.66345","0.4721","1","0.036739","6936","0.6936","P53","EC000366"
"Saturated fatty acids beta-oxidation","8","8","1","0.66345","0.4721","1","0.036739","4149","0.4149","P54","EC000526"
"Selenoamino acid metabolism","10","10","1","0.82932","0.55036","1","0.047289","632","0.0632","P55","EC000751"
"Valine, leucine and isoleucine degradation","25","25","2","2.0733","0.58292","0.86304","0.052714","2054","0.2054","P56","EC00017;EC000114"
"Vitamin D3 (cholecalciferol) metabolism","12","12","1","0.99518","0.61714","1","0.059252","3983","0.3983","P57","EC000298"
"Limonene and pinene degradation","12","12","1","0.99518","0.61714","1","0.059252","9747","0.9747","P58","EC000399"
"Arachidonic acid metabolism","27","27","2","2.2392","0.62589","0.88341","0.061082","3046","0.3046","P59","EC00017;EC000379"
"Sialic acid metabolism","14","14","1","1.161","0.67409","1","0.07252","4220","0.422","P60","EC000678"
"Phosphatidylinositol phosphate metabolism","15","15","1","1.244","0.69934","1","0.079603","6459","0.6459","P61","EC00021"
"Linoleate metabolism","47","47","3","3.8978","0.71372","0.885","0.08404","9545","0.9545","P62","EC000992;EC00037;EC0001070"
"TCA cycle","16","16","1","1.3269","0.72266","1","0.086959","2968","0.2968","P63","EC00021"
"Squalene and cholesterol biosynthesis","17","17","1","1.4098","0.74418","1","0.094572","2358","0.2358","P64","EC000298"
"Porphyrin metabolism","18","18","1","1.4928","0.76406","1","0.10242","4981","0.4981","P65","EC00037"
"Vitamin E metabolism","22","22","1","1.8245","0.8294","1","0.13578","5693","0.5693","P66","EC000509"
"Fatty Acid Metabolism","26","26","1","2.1562","0.87679","1","0.17141","6543","0.6543","P67","EC000526"
"Prostaglandin formation from arachidonate","26","26","1","2.1562","0.87679","1","0.17141","4165","0.4165","P68","EC00037"
"Tryptophan metabolism","93","93","4","7.7126","0.93971","0.97922","0.25225","9687","0.9687","P69","EC00017;EC000320;EC000499;EC0001107"
"Tyrosine metabolism","125","125","5","10.366","0.97332","0.99055","0.34166","9982","0.9982","P70","EC00017;EC0001073;EC00037;EC00034;EC000999"
