"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Xenobiotics metabolism","46","46","3","3.0608","0.5463","0.78176","0.023139","5439","0.5439","P52","EC000139;EC000881;EC000893"
"Linoleate metabolism","47","47","3","3.1273","0.56137","0.79201","0.024585","8254","0.8254","P53","EC000993;EC0001015;EC0001021"
"Hexose phosphorylation","13","13","1","0.865","0.56315","1","0.024762","7334","0.7334","P54","EC00020"
"Fructose and mannose metabolism","13","13","1","0.865","0.56315","1","0.024762","5746","0.5746","P55","EC00020"
"Vitamin B6 (pyridoxine) metabolism","15","15","1","0.99807","0.61575","1","0.030745","8110","0.811","P56","EC000365"
"Drug metabolism - other enzymes","16","16","1","1.0646","0.63966","1","0.034016","5627","0.5627","P57","EC000820"
"Porphyrin metabolism","18","18","1","1.1977","0.68316","1","0.041105","4218","0.4218","P58","EC000236"
"Beta-Alanine metabolism","18","18","1","1.1977","0.68316","1","0.041105","6424","0.6424","P59","EC00076"
"Alanine and Aspartate Metabolism","20","20","1","1.3308","0.72148","1","0.048893","9366","0.9366","P60","EC00032"
"Valine, leucine and isoleucine degradation","25","25","1","1.6635","0.79842","1","0.071137","6132","0.6132","P61","EC00072"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","25","25","1","1.6635","0.79842","1","0.071137","9304","0.9304","P62","EC00032"
"Arachidonic acid metabolism","27","27","1","1.7965","0.82294","1","0.081006","5683","0.5683","P63","EC000127"
"Tryptophan metabolism","93","93","4","6.188","0.84129","0.93368","0.089681","8589","0.8589","P64","EC000323;EC0001039;EC000174;EC00020"
"Carnitine shuttle","30","30","1","1.9961","0.85432","1","0.096673","7225","0.7225","P65","EC0001137"
"Histidine metabolism","32","32","1","2.1292","0.87213","1","0.10761","9247","0.9247","P66","EC00076"
"Purine metabolism","38","38","1","2.5284","0.91364","1","0.14218","8333","0.8333","P67","EC0001109"
"Tyrosine metabolism","125","125","3","8.3173","0.98836","0.99744","0.32366","9954","0.9954","P68","EC000319;EC000282;EC000708"
