m.z,p.value,t.score,r.t
100.4885352,0.10545230684986656,1.6302427639901458,243.4545655
100.828156,0.07157845366530172,1.816509968354386,400.688067
100.925892,0.78995590463727,0.26691294531293885,275.9735288
100.9259071,0.9237835994381667,-0.09585325360519532,19.78972342
100.9334104,0.4143273914029695,-0.818905829324449,402.0091973
100.9461023,0.5893058238926344,-0.5411753734566064,392.1849323
100.9646256,0.5840640299125461,-0.5488187573166281,27.64681592
100.9855617,0.09213356619303488,1.6966720152229275,28.78802446
101.0243744,0.47006692155058216,-0.7244736752043377,436.8926241
101.02441,0.39754917052286054,-0.8487852190564298,21.328808510000002
101.0607707,0.47758017531867314,-0.7122441884512031,26.70867785
101.3230639,0.8387403234609363,-0.20390992110322415,406.7858972
101.6450894,0.7780149998808037,0.28248824467124145,426.4050694
101.9239879,0.3112403769103134,-1.0165520322411061,20.0045265
101.9241296,0.37214141944223245,-0.8955393755188404,442.7466218
101.9241475,0.2109227460770604,1.2571868951298744,278.4874102
1010.780709,0.7579211217352717,-0.3088567836870258,334.7918142
1011.78415,0.8535074985094033,-0.18500977112777853,334.7612936
1012.796358,0.824181881114934,-0.2226149954092032,368.7530317
1013.799259,0.8185678969767372,-0.2298486413847039,368.3487029
1014.807297,0.35833099872450447,-0.9217931807596057,368.2838212
1015.813893,0.9272306261068397,-0.09150561083099397,368.308146
102.0560203,0.38047468621442493,-0.8799928052990853,19.57774109
102.956791,0.874632941510495,-0.15808538749140574,20.96292899
1026.812444,0.6712612256335564,-0.42537509160532205,392.4380653
103.003693,0.8083097995065094,-0.24309789597086226,60.02280773
103.0036991,0.43258917453910306,-0.7871957599396457,13.77212684
103.0221847,0.7952380677725395,-0.2600440490733541,43.5316762
103.0400836,0.8614490856416186,-0.17487341979805293,20.16245306
103.9601864,0.7999865587099801,-0.2538796760804673,21.3939909
1034.780991,0.9511639309446512,-0.06136263369763123,331.2477174
1035.665091,0.5323418996036755,0.6260951807771976,316.114548
1036.66807,0.44727673965481773,0.7622572828255904,315.8283715
1036.795791,0.682128826627521,-0.4104740388955157,368.4406794
1037.670821,0.4372107812338224,0.7792962531586803,315.5094339
1037.799877,0.7893822288065978,-0.2676597084826917,368.4617732
1038.674015,0.8523849822628887,0.18644403141924307,315.0957457
1038.810595,0.627624054357881,-0.4862193161508032,373.8959366
1039.81487,0.6419434868290135,-0.4660643151703641,374.13412
104.0352957,0.8521156349395788,-0.18678823897272295,19.77819938
104.0434695,0.1957300070351846,-1.300449834267007,20.00847103
104.3186653,0.17734627365409597,1.3562700449026264,400.2902067
104.3325479,0.04544019746150957,2.0198342928217925,401.0134779
104.457748,0.0423937036565008,2.0496546141452154,400.1769943
104.5832773,0.09671223835112228,1.6730076938611564,400.6582854
104.9538541,0.9112806769935824,0.11163880364260965,20.92404153
1040.825322,0.6216721333336588,-0.4946551391416589,370.2565692
1040.82638,0.8859341262007708,-0.1437305316775837,425.5012882
1041.830011,0.8814484033240616,-0.14942459624614088,425.5292243
1041.830227,0.6266628153055839,-0.48757933699351175,368.9472812
1042.838608,0.7637752221702473,-0.3011531141909354,425.4411457
1043.845445,0.6332753139509828,-0.4782417204697752,426.2440715
1049.680303,0.5350546282085897,0.6219516302822768,316.0775312
105.0000305,0.5235791008219304,-0.6395545296724015,8.986990955
105.0126415,0.9367758261268033,-0.07947533717630671,9.26553716
105.0259965,0.6384577727684341,0.47095273343007005,9.214163971
105.0378043,0.6636065498548299,-0.4359279032562678,22.34031699
105.2497978,0.1311399484408731,1.5191286012006946,237.8168495
1050.683782,0.5409398759116897,0.6129988449438994,315.8080572
1051.686302,0.40402945971906434,0.8371561151702079,315.3992145
1052.689256,0.9445524444232134,0.06968273228995982,315.2906301
106.7515445,0.8703310975611743,0.163558097679147,247.1684029
1060.796828,0.5477254862151502,0.6027372655372418,368.5254209
1061.680278,0.12916435317540495,1.5270303025098073,324.3756351
1061.799907,0.9298274368311665,0.08823147782525177,368.6794424
1062.683882,0.9819302625347536,-0.022692280080867808,325.1611669
1062.811133,0.8661326937820755,-0.16890397503611587,372.2827573
1063.814891,0.9107404536266978,-0.11232146558735345,372.4004571
1064.826096,0.7487639559457684,-0.32094441513650157,372.5500256
1064.826961,0.9025084860247818,0.12273064254805259,426.1359844
1066.841686,0.6649176647608592,-0.4341169498474277,374.133361
1067.845833,0.8166159069511162,-0.23236661158750496,425.6231211
1067.845925,0.7339756310259562,-0.3405663133226856,374.1115067
1068.855971,0.9913637365757626,-0.010844841157036928,425.6507991
1069.861661,0.8705102152069928,-0.16333013084793646,425.5211808
107.0157338,0.12935902425179366,-1.5262474872087242,8.626086141
107.0501019,0.5891759401437602,0.5413643795948365,79.84106795
107.0502058,0.7988173888244889,0.2553965529110977,28.17346024
1070.86651,0.5612476130334101,-0.582475554187567,425.8792099
1073.680098,0.8241361966326728,0.22267381224615124,313.8317168
1075.696109,0.40438220569688477,0.8365263589807861,324.5650603
1076.698679,0.4351519285230854,0.7828093063938287,324.2277994
1077.702808,0.6589095965902652,0.442427358797315,323.5609768
108.0535402,0.6254540527977321,0.48929085828093927,79.84066992
108.9019405,0.9668019746636545,0.04169920685418536,20.81219262
1083.664841,0.38712758925065127,0.8677324610129695,298.7124646
1084.668235,0.5481529044215934,0.6020930411878719,298.6916036
1084.795715,0.888743921290661,-0.14016624975128233,338.2723383
1085.670804,0.2662440965518222,1.1165182408917922,298.8433874
1085.799212,0.8061103147806019,-0.24594425254521599,338.6798588
1086.811783,0.7698133735967205,-0.2932260482310174,372.6301008
1087.695824,0.7395556854281983,-0.33314730863569497,325.521481
1087.815205,0.8145681012993901,-0.2350097753707378,372.5658628
1088.826317,0.7452187772317641,-0.3256367272488189,372.9500079
1089.830561,0.9544980846572859,-0.05716849106507048,372.5523497
