m.z,p.value,t.score,r.t
100.023437,0.39552130947228814,0.8508844962547556,16.01390957
100.0667589,0.6979833173115001,0.38842155463764,31.50350132
100.0689703,0.6988106417573229,0.3873024476265165,31.50513773
100.0748127,0.9083943354531361,0.11516258702450566,31.21106555
100.0828428,0.8214783860842013,0.22584429346007573,31.25176222
100.0832608,0.8130299001002754,0.2367301317701977,274.3205165
100.5122508,0.06069210172381796,1.8829171656601413,8.590858381
100.7564656,0.5538261292110174,-0.5927124706026269,18.82714372
100.9664273,0.4455997306895807,-0.763791746375744,8.410924328
1001.656387,0.8294734120140357,0.2155674254785739,292.0777754
1001.693111,0.17527836047787163,-1.3586929997128163,324.6342095
1002.661027,0.2193927502070653,-1.2307519332157006,301.0573407
1003.163452,0.3810115955145851,-0.8773435301651976,306.9763749
1003.578229,0.9275656096335212,0.09098555421779463,285.5260997
1003.667318,0.6550925214031138,0.4471517380373176,308.8043058
1004.581552,0.5724632248128421,-0.5650566641410726,285.5086415
1005.687676,0.9797777204476756,-0.02536901411353505,322.8094718
1005.797435,0.29679439357336573,1.0451760286401337,17.82368395
1005.988491,0.1543215003571872,-1.428085456269877,193.5096353
1006.489726,0.14392383481824209,-1.4652142638892947,193.4986867
1006.760623,0.9331735266144698,0.0839240760458158,19.34018849
1006.991382,0.09524774972073233,-1.6736907228225129,193.5208844
1008.805816,0.10158728099420672,-1.6423119249459588,18.64627812
101.0522765,0.5924454594630741,0.5358777767346039,16.08063791
101.0784238,0.8523844057763894,0.1862396445786629,31.04645401
1013.654058,0.461137297340406,-0.7379370892807501,304.3997674
1013.784327,0.9419599915680812,0.07286847893477831,18.12128539
1014.155937,0.7124731187893917,0.3688904248191556,307.1307953
1014.657487,0.6268636374908136,-0.48665406745075074,307.2326928
1015.670857,0.8120780751590506,0.23795829588359912,306.7204109
1016.675288,0.7758875274942177,-0.28494240605022475,306.6730994
1016.793196,0.7710243982508653,-0.29130197874765995,18.95690622
1017.29516,0.8592438133375659,0.17749140409848255,18.84657931
1017.686887,0.8843037908972821,-0.14564117300969814,314.3311744
1017.794941,0.9623418766047733,0.04725497835101864,18.84087099
1018.690651,0.9787109671421643,-0.02670757611367808,314.3235375
1019.695086,0.8790462849771719,0.15230989639193235,312.9852916
102.0332517,0.6435134668321184,0.46326695181017247,10.9755384
102.0543343,0.7714760163664574,0.290710898228381,22.31843701
102.0655818,0.09094775157803697,1.6959448637813699,21.89885511
102.5316529,0.390081185102527,0.8607340586130161,16.38322975
102.5348673,0.9967281698397249,0.004104107382215573,11.71256224
102.9696301,0.5483031172573177,0.6009952010368333,15.91992834
1020.132693,0.7380424584801786,-0.3347610214032461,306.8987241
1020.632687,0.5023247992514583,-0.6716587863915925,306.8478457
1020.69759,0.8955834455469301,-0.1313553461762601,311.8378194
1021.133807,0.8920377841119869,0.1358429358767095,306.8775743
1021.635209,0.5372480583759699,0.617699967209888,306.518381
1021.771603,0.6677652325080164,-0.4296467211666754,18.13765615
1022.516541,0.4007865699557057,-0.8414295863525032,337.4707181
1022.735008,0.6501053634888978,-0.4540781277364948,19.40200205
1024.780102,0.40899704591146535,-0.8268342331748363,19.0214608
1025.282009,0.9419934737030342,0.07282636788079762,18.67644966
1025.781116,0.7384989818461642,-0.33415532108940377,18.7118135
1026.659272,0.9894018765964228,-0.01329439409371731,293.783144
1027.472037,0.2703948511445072,-1.10421926845978,337.5514313
103.0311447,0.5951201484609461,-0.5320070994169105,15.8857259
103.0365089,0.7204508247169212,0.35819750804749023,15.68721661
103.0497015,0.2213686204691936,1.2254799579010096,15.95801005
103.0535726,0.9620283024282821,0.04764876195542472,26.18419654
103.0536221,0.7620670765232139,0.30304678756696646,275.2825704
103.5472973,0.363450796733075,-0.9102129639742943,16.01328925
103.5502262,0.49314408284417943,0.686168327373816,16.09252165
103.5731812,0.3678937263478149,0.9018048840255183,256.3736544
103.8008241,0.9340056946612681,0.08287657787395797,277.7701745
103.8238761,0.8712072463375226,0.1622658148656998,256.6270753
1031.703177,0.8882378545367362,-0.14065539314487688,319.7335256
1032.70713,0.36834064251843845,0.9009626420355993,321.9508239
1032.767467,0.5420524706374892,0.6104192949494216,19.02517684
1033.768557,0.9835220507043679,-0.02067097370621463,19.00245277
1036.782358,0.490627567553797,0.6901707914553964,17.7855126
1039.670859,0.8811721918849862,0.14961255279626176,293.736885
104.0296283,0.057492854032703156,1.9069667730105053,15.13596034
104.0484646,0.1134410882210251,-1.5876146865009446,16.08367594
104.0516488,0.5162187851769795,-0.6499652260279192,275.4120938
104.0569007,0.7145343998241178,0.36612358098172065,26.23646122
104.061388,0.5769715619882037,-0.5584320465183118,275.3517737
104.0699295,0.48326319225238934,0.7019479525434581,21.72737413
104.1063727,0.9319547977941873,0.0854583277612796,20.36988382
104.5335253,0.30918246541909433,-1.0186891243803715,18.04909854
104.9919342,0.8824695802587854,0.14796696847118612,20.20264027
1040.674861,0.9485920215164805,0.06452969405417575,293.0817379
1041.68324,0.6213153097720769,-0.49450652429083214,299.1841896
1042.686501,0.3745508716981555,-0.8893245182838128,300.0509956
1042.799416,0.5814119511053825,-0.5519311981379222,18.78669751
1043.301866,0.8282299806386174,-0.21716421513412945,18.59949954
1043.700244,0.8168538532513258,-0.23179957552258534,313.20005
1043.803566,0.8932380636182835,0.13432349143293043,18.80742406
1044.705467,0.8719908719502385,-0.16126986651606473,314.8392388
1045.709711,0.8997905402394235,-0.1260340424807242,315.1379588
1046.713261,0.9033449593279842,0.12154106425516598,314.942619
1047.777687,0.2939547087768079,1.051351546489227,18.03864466
1048.742442,0.3343801420977067,0.966906441029316,18.99753677
105.033154,0.4273479255721264,0.7948322479369632,240.6018153
105.0331785,0.3989596808640148,0.8447015935408007,70.96334742
105.0365033,0.08987405872006303,1.7016339099476139,28.1804302
105.0419998,0.3755320246723217,0.8874968297150956,18.27212764
105.0695089,0.8718556409556044,-0.16144172675561838,26.46796099
105.0695486,0.5907255542291804,0.5383709928003768,261.4978313
105.1036821,0.11409994133033985,1.5847102125992447,20.21856028
105.1099727,0.8564218802812166,0.18108870741284094,20.3588673
105.3280784,0.8991821247371399,-0.1268033660401527,270.9904383
105.5783552,0.9601876836332545,0.049960345821996995,270.8809271
105.9534862,0.15552034128090786,1.4239289068145025,425.8105135
1050.660939,0.7147033369372995,0.3658969426887698,292.8489672
1050.787052,0.47542252335377644,-0.714594977246835,18.92974487
1051.28888,0.5380407338634887,-0.6164964837890223,18.81066253
1051.788543,0.006283957423296984,2.7522566471849306,18.75863575
1055.765273,0.9745995338633942,0.03186707302484212,18.13283571
1055.906808,0.05265115832197731,-1.9455840498387196,226.4185754
1056.240146,0.07942466958541619,-1.7600942059855194,226.3168571
1056.573596,0.15381312813659956,-1.4298555007063023,226.4951079
1056.909859,0.9624027228495288,0.047178569042818495,226.487947
1057.244299,0.5343085136317998,-0.6221708024483843,226.6326096
1058.773882,0.7310255778362065,-0.34408645557589984,19.26212859
1059.275849,0.1562468822708948,-1.4214217712790589,18.72900006
1059.776381,0.3444651174533878,0.9468940690907272,18.89906127
106.0284594,0.012625284842720274,2.5094671656360736,15.28296395
106.0364605,0.4727987700562515,0.718852694010569,70.66756779
106.0389903,0.2559931829698798,1.1381141085757507,438.0551624
106.0390023,0.5996567394938288,0.5254601529678218,18.74996222
106.0452806,0.4393946440210932,-0.7742606658175263,18.48276639
106.0494989,0.05091562553173049,-1.960154513276846,21.32284909
106.0647539,0.26026476124544434,-1.1279255948406492,412.4041953
106.0647756,0.6265420475969292,-0.48710838325482775,111.3587998
106.0728572,0.4631105073869569,0.734689076618876,260.6685426
106.0837312,0.9721445919784888,0.03494821207592466,267.4475477
106.587792,0.1039984432078453,1.6307886877456157,277.8353302
106.838478,0.38350208795190666,0.8727586167978156,278.0682546
106.9501838,0.3093577770773827,1.0183194142807264,19.85086591
106.9986291,0.1649803177194067,1.3919572770828454,20.48571594
1060.77546,0.028434232979288585,-2.202030713792112,18.73335888
1061.653923,0.5184072262083373,-0.6465762985088948,292.7911627
1062.657763,0.31794800751679414,-1.0003711491216007,292.7546579
1063.670903,0.6770181957566408,0.41694863545035815,292.1107375
1064.674896,0.6626181137107312,0.43674030164758143,292.1126794
1065.682324,0.9790624805223668,-0.02626649195359125,301.4919931
1066.684429,0.2999271709119998,1.0384090205116001,300.3148469
1066.761079,0.7291610318589052,-0.34656945888908974,18.96662272
1067.701617,0.7148768842809372,0.36566413914787266,314.9244297
107.0487366,0.9900132630640881,-0.01252742318391102,26.36406395
107.0698808,0.36544728679725447,0.9064267481104633,175.7208065
107.0851497,0.24195376002842547,-1.1724634886177907,274.4350308
107.0851592,0.16490515647024967,1.3922057470467657,121.2719686
107.726711,0.7261204008302258,0.35062325634795677,19.20540362
107.9664108,0.07569753418592733,1.7824697347993768,441.1857902
1074.747845,0.4558971214971562,-0.7466008401076268,19.29072689
1076.791714,0.18336862960367128,-1.3335745140173838,18.6133516
1077.295341,0.5492927016637299,0.5995081194828282,18.5976414
108.0577692,0.4312116007841802,0.7881981033515649,266.1595717
108.0658471,0.5737248133922355,-0.5632003738223113,22.30434649
108.0758937,0.494567539796232,0.6839092199844203,256.468411
108.0803434,0.6314592858103241,-0.48017264597039333,29.28681461
108.3085248,0.07394948217813477,1.7932765288486232,260.8003858
108.3118652,0.3118963559810023,-1.0129813877890972,318.7076635
108.8961211,0.05003413114335442,1.9677157109297756,368.492301
108.9486343,0.7852731615338193,-0.27270106391078375,19.06182646
1081.771791,0.9746247646159532,0.031835408134737404,18.06853528
1084.780597,0.47918901417730575,-0.7085054493327505,18.87959425
1085.282358,0.04458226186194621,-2.017150795039486,18.80520475
1085.653812,0.7544848954146484,-0.3130213266010005,292.0870846
1086.657419,0.32886401617985017,0.9780180961925022,292.148101
1087.671193,0.6540947948417385,0.4485356949114318,291.7375525
1088.67498,0.5700958658378881,0.5685452560946923,291.7331724
1089.678612,0.8959326897585982,0.13091346797050862,291.6435351
