"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Glycolysis and Gluconeogenesis","11","11","3","0.53038","0.010625","0.07967","0.0014546","220","0.022","P1","EC000375;EC000192;EC00065"
"Fructose and mannose metabolism","13","13","3","0.62681","0.017292","0.10694","0.0014927","281","0.0281","P2","EC000192;EC00065;EC00056"
"Galactose metabolism","15","15","3","0.72324","0.025834","0.13631","0.001543","322","0.0322","P3","EC00081;EC000192;EC00065"
"Carbon fixation","8","8","2","0.38573","0.045747","0.30073","0.0016672","102","0.0102","P4","EC00065;EC000192"
"Drug metabolism - cytochrome P450","32","32","4","1.5429","0.04964","0.15965","0.0016927","441","0.0441","P5","EC000813;EC000918;EC000934;EC000731"
"Pyruvate Metabolism","3","3","1","0.14465","0.12771","1","0.0022999","217","0.0217","P6","EC00065"
"Phosphatidylinositol phosphate metabolism","15","15","2","0.72324","0.14091","0.48977","0.0024234","1112","0.1112","P7","EC000619;EC000192"
"Hyaluronan Metabolism","4","4","1","0.19286","0.16662","1","0.0026843","731","0.0731","P8","EC00081"
"Electron transport chain","4","4","1","0.19286","0.16662","1","0.0026843","732","0.0732","P9","EC000216"
"Caffeine metabolism","5","5","1","0.24108","0.20382","1","0.0031157","3587","0.3587","P10","EC000911"
"Glyoxylate and Dicarboxylate Metabolism","6","6","1","0.2893","0.2394","1","0.0035972","390","0.039","P11","EC00065"
"N-Glycan Degradation","6","6","1","0.2893","0.2394","1","0.0035972","4476","0.4476","P12","EC00081"
"C21-steroid hormone biosynthesis and metabolism","58","58","4","2.7965","0.25473","0.46982","0.0038285","650","0.065","P13","EC0008;EC000494;EC000336;EC000670"
"Glycosphingolipid metabolism","23","23","2","1.109","0.27279","0.64498","0.0041216","2641","0.2641","P14","EC000171;EC000856"
"N-Glycan biosynthesis","7","7","1","0.33751","0.27341","1","0.0041322","1216","0.1216","P15","EC00056"
"Keratan sulfate degradation","7","7","1","0.33751","0.27341","1","0.0041322","4996","0.4996","P16","EC00081"
"Heparan sulfate degradation","7","7","1","0.33751","0.27341","1","0.0041322","3209","0.3209","P17","EC00081"
"Xenobiotics metabolism","46","46","3","2.2179","0.33606","0.60703","0.0053526","2988","0.2988","P18","EC000804;EC000888;EC0001121"
"Biopterin metabolism","9","9","1","0.43394","0.33703","1","0.0053744","4660","0.466","P19","EC00048"
"Omega-3 fatty acid metabolism","9","9","1","0.43394","0.33703","1","0.0053744","2711","0.2711","P20","EC000904"
"Methionine and cysteine metabolism","28","28","2","1.35","0.35667","0.71738","0.0058345","2134","0.2134","P21","EC000261;EC00038"
"Butanoate metabolism","29","29","2","1.3983","0.37312","0.73001","0.0062528","3100","0.31","P22","EC000566;EC000375"
"Androgen and estrogen biosynthesis and metabolism","30","30","2","1.4465","0.38942","0.74209","0.0066993","2666","0.2666","P23","EC000670;EC0008"
"Ubiquinone Biosynthesis","11","11","1","0.53038","0.39519","1","0.0068654","1944","0.1944","P24","EC000216"
"Alkaloid biosynthesis II","12","12","1","0.57859","0.42236","1","0.0077109","4138","0.4138","P25","EC000860"
"Fatty acid oxidation","12","12","1","0.57859","0.42236","1","0.0077109","654","0.0654","P26","EC000216"
"Limonene and pinene degradation","12","12","1","0.57859","0.42236","1","0.0077109","7032","0.7032","P27","EC000522"
"Vitamin A (retinol) metabolism","13","13","1","0.62681","0.44833","1","0.0086262","1243","0.1243","P28","EC000339"
"Glutathione Metabolism","13","13","1","0.62681","0.44833","1","0.0086262","4110","0.411","P29","EC000922"
"Sialic acid metabolism","14","14","1","0.67502","0.47316","1","0.0096135","2391","0.2391","P30","EC00081"
"Fatty acid activation","36","36","2","1.7358","0.48295","0.80422","0.010036","1325","0.1325","P31","EC0001148;EC000804"
"Purine metabolism","38","38","2","1.8322","0.51222","0.82146","0.011429","3770","0.377","P32","EC000637;EC000151"
"TCA cycle","16","16","1","0.77146","0.51957","1","0.011811","1402","0.1402","P33","EC000216"
"Pentose phosphate pathway","17","17","1","0.81967","0.54125","1","0.013025","3448","0.3448","P34","EC00065"
"Ascorbate (Vitamin C) and Aldarate Metabolism","19","19","1","0.9161","0.58177","1","0.015688","3396","0.3396","P35","EC000495"
"Aminosugars metabolism","19","19","1","0.9161","0.58177","1","0.015688","4500","0.45","P36","EC00081"
"Tryptophan metabolism","93","93","4","4.4841","0.60684","0.78864","0.017643","6329","0.6329","P37","EC0001095;EC000443;EC000731;EC000739"
"Linoleate metabolism","47","47","2","2.2662","0.63031","0.88235","0.01973","7810","0.781","P38","EC000992;EC0001070"
"Glycine, serine, alanine and threonine metabolism","49","49","2","2.3626","0.65343","0.89282","0.022069","5829","0.5829","P39","EC00038;EC000782"
"Glycerophospholipid metabolism","50","50","2","2.4108","0.66456","0.8977","0.023311","4658","0.4658","P40","EC000171;EC00065"
"Leukotriene metabolism","24","24","1","1.1572","0.66835","1","0.023752","4791","0.4791","P41","EC000397"
"Tyrosine metabolism","125","125","5","6.027","0.67131","0.81515","0.024103","8106","0.8106","P42","EC000319;EC000282;EC00048;EC000956;EC000708"
"Fatty Acid Metabolism","26","26","1","1.2536","0.69783","1","0.027543","4053","0.4053","P43","EC000804"
"Prostaglandin formation from arachidonate","26","26","1","1.2536","0.69783","1","0.027543","2872","0.2872","P44","EC000397"
"Arachidonic acid metabolism","27","27","1","1.3018","0.71159","1","0.029557","4755","0.4755","P45","EC000397"
"Bile acid biosynthesis","28","28","1","1.35","0.72474","1","0.03165","4040","0.404","P46","EC000685"
"De novo fatty acid biosynthesis","30","30","1","1.4465","0.74929","1","0.036067","5027","0.5027","P47","EC000804"
"Arginine and Proline Metabolism","44","44","1","2.1215","0.87028","1","0.074598","9250","0.925","P48","EC00038"
"Pyrimidine metabolism","44","44","1","2.1215","0.87028","1","0.074598","8664","0.8664","P49","EC000216"
"Lysine metabolism","47","47","1","2.2662","0.88749","1","0.084276","9257","0.9257","P50","EC000702"
"Urea cycle/amino group metabolism","76","76","1","3.6644","0.97218","1","0.19023","9948","0.9948","P51","EC00038"
"Aspartate and asparagine metabolism","83","83","1","4.0019","0.98026","1","0.2169","9926","0.9926","P52","EC000303"
