m.z,r.t,beta,t.score,p.value,conf.low,conf.high,mode
102.064119748758,194.934362455475,NA,NA,NA,NA,NA,negative
102.429294332006,247.60821256671,NA,NA,NA,NA,NA,negative
102.557676976293,247.727397160602,NA,NA,NA,NA,NA,negative
102.679798594721,247.656721389668,NA,NA,NA,NA,NA,negative
102.68619961528,247.007039868112,NA,NA,NA,NA,NA,negative
102.937555350871,23.3695845425311,NA,NA,NA,NA,NA,negative
102.956835948257,24.7435516876118,NA,NA,NA,NA,NA,negative
102.962838923854,73.1731423635251,NA,NA,NA,NA,NA,negative
102.976194792187,23.3420745625505,NA,NA,NA,NA,NA,negative
103.003644476169,238.119945601067,NA,NA,NA,NA,NA,negative
103.003696576081,14.5869911860171,NA,NA,NA,NA,NA,negative
103.014946821474,275.043808795784,NA,NA,NA,NA,NA,negative
103.022201808037,160.634113886124,NA,NA,NA,NA,NA,negative
103.040088107732,22.2914776598022,NA,NA,NA,NA,NA,negative
103.960266678714,23.973820996731,NA,NA,NA,NA,NA,negative
103.981194780089,276.119582668305,NA,NA,NA,NA,NA,negative
104.035298333027,21.1934389765081,NA,NA,NA,NA,NA,negative
104.043447981322,270.568207256154,NA,NA,NA,NA,NA,negative
104.043472264265,21.8635913904949,NA,NA,NA,NA,NA,negative
104.457390332791,247.711525220522,NA,NA,NA,NA,NA,negative
104.953863981426,23.8636659925937,NA,NA,NA,NA,NA,negative
105.019309645969,19.7645634140751,NA,NA,NA,NA,NA,negative
105.037818033933,156.045439088382,NA,NA,NA,NA,NA,negative
105.037831314839,24.6990621753879,NA,NA,NA,NA,NA,negative
105.960438508442,279.275257769703,NA,NA,NA,NA,NA,negative
107.050253343945,22.3553116194791,NA,NA,NA,NA,NA,negative
107.682001166631,281.254776643007,NA,NA,NA,NA,NA,negative
107.923291348925,194.4019030202,NA,NA,NA,NA,NA,negative
108.00662192707,156.137586101911,NA,NA,NA,NA,NA,negative
108.006673470055,30.6796975803352,NA,NA,NA,NA,NA,negative
108.045512919708,103.468869922747,NA,NA,NA,NA,NA,negative
108.045515401658,203.764813710341,NA,NA,NA,NA,NA,negative
108.90183687393,59.6099344500543,NA,NA,NA,NA,NA,negative
108.901950181736,21.9426511608874,NA,NA,NA,NA,NA,negative
109.029499871174,271.469818902469,NA,NA,NA,NA,NA,negative
109.029551701184,199.342213793417,NA,NA,NA,NA,NA,negative
109.040729535409,194.266515978491,NA,NA,NA,NA,NA,negative
109.985910756571,30.8539877521897,NA,NA,NA,NA,NA,negative
110.024724860191,258.267594800114,NA,NA,NA,NA,NA,negative
110.024747453653,188.555739650977,NA,NA,NA,NA,NA,negative
110.035892824986,278.52469260136,NA,NA,NA,NA,NA,negative
110.898949520901,63.8927617256171,NA,NA,NA,NA,NA,negative
110.899043547212,21.8490296185483,NA,NA,NA,NA,NA,negative
110.939470780486,23.2999809041731,NA,NA,NA,NA,NA,negative
110.970000227778,123.890602066441,NA,NA,NA,NA,NA,negative
111.00880503401,251.547079546543,NA,NA,NA,NA,NA,negative
111.008829265055,162.494895041827,NA,NA,NA,NA,NA,negative
111.019930582792,236.976823234566,NA,NA,NA,NA,NA,negative
111.020038410858,172.416082566065,NA,NA,NA,NA,NA,negative
111.031267721651,283.913998557427,NA,NA,NA,NA,NA,negative
111.045137695627,273.16739620983,NA,NA,NA,NA,NA,negative
111.045153686075,200.205074382223,NA,NA,NA,NA,NA,negative
111.584630382191,27.027905427079,NA,NA,NA,NA,NA,negative
112.00405037961,197.800358346212,NA,NA,NA,NA,NA,negative
112.015341339436,131.789824277042,NA,NA,NA,NA,NA,negative
112.040435121279,200.319880666545,NA,NA,NA,NA,NA,negative
112.05167282955,24.2076870043841,NA,NA,NA,NA,NA,negative
112.896092876644,21.9880501289434,NA,NA,NA,NA,NA,negative
112.937324715031,127.681656466499,NA,NA,NA,NA,NA,negative
112.955083405713,240.389836441502,NA,NA,NA,NA,NA,negative
112.955107425508,129.838694549474,NA,NA,NA,NA,NA,negative
112.999287081457,61.6824341040608,NA,NA,NA,NA,NA,negative
112.99933516635,164.556540582567,NA,NA,NA,NA,NA,negative
113.014105762948,19.3194083952088,NA,NA,NA,NA,NA,negative
113.024464367174,25.6757609376935,NA,NA,NA,NA,NA,negative
113.024472508867,169.04049139895,NA,NA,NA,NA,NA,negative
113.035673604448,235.095130133079,NA,NA,NA,NA,NA,negative
113.03573216597,99.8336336930445,NA,NA,NA,NA,NA,negative
113.055045095994,24.7586414697194,NA,NA,NA,NA,NA,negative
113.06080374271,292.377612605565,NA,NA,NA,NA,NA,negative
113.060828546135,188.942211607415,NA,NA,NA,NA,NA,negative
113.553917748606,271.903313169716,NA,NA,NA,NA,NA,negative
113.886736399869,228.838807618438,NA,NA,NA,NA,NA,negative
113.980877223984,39.6513641430975,NA,NA,NA,NA,NA,negative
113.99135183417,273.155867718308,NA,NA,NA,NA,NA,negative
114.00255557546,279.929851786786,NA,NA,NA,NA,NA,negative
114.019529798112,268.340446316404,NA,NA,NA,NA,NA,negative
114.030907496529,278.529580114936,NA,NA,NA,NA,NA,negative
114.056051262509,25.7809565611736,NA,NA,NA,NA,NA,negative
114.557790861223,227.348203834714,NA,NA,NA,NA,NA,negative
114.824448549884,247.972531732007,NA,NA,NA,NA,NA,negative
114.895387508692,29.3117691563423,NA,NA,NA,NA,NA,negative
114.91128329219,268.657007528961,NA,NA,NA,NA,NA,negative
114.934103753569,195.280609242268,NA,NA,NA,NA,NA,negative
114.934139410585,254.667289518164,NA,NA,NA,NA,NA,negative
114.956881860562,270.049567179033,NA,NA,NA,NA,NA,negative
114.97582977331,34.8084943365924,NA,NA,NA,NA,NA,negative
114.989771629426,173.776419768095,NA,NA,NA,NA,NA,negative
115.003683975213,165.638356065943,NA,NA,NA,NA,NA,negative
115.014976276754,129.084080439186,NA,NA,NA,NA,NA,negative
115.040078414379,22.7285949772428,NA,NA,NA,NA,NA,negative
115.05118687459,272.457549582674,NA,NA,NA,NA,NA,negative
