m.z,r.t,beta,t.score,p.value,conf.low,conf.high,mode
85.02965565,26.35675378,0.0355739395075281,0.195683134869581,0.844993361767119,-0.322207786671616,0.393355665686672,negative
87.00887596,159.3062312,0.150611539386012,0.8282960007931,0.408174773361613,-0.207247731688021,0.508470810460045,negative
87.00894226,25.97310346,-0.161277210330071,-0.877887304490156,0.380721724467879,-0.522831754395377,0.200277333735234,negative
87.9728756,17.91550247,-0.112829191088746,-0.706485266094743,0.480445921562911,-0.427139015212913,0.20148063303542,negative
88.0406022,24.71106313,-0.187382604000573,-1.01503693927082,0.31092281249869,-0.550700685773055,0.175935477771909,negative
89.01479779,282.7259782,-0.189224680048406,-1.05015528883531,0.294509170506059,-0.543845186491714,0.165395826394902,negative
89.02463145,20.39716283,-0.0555375494126617,-0.384133332932613,0.701157303335682,-0.340078192194374,0.229003093369051,negative
89.04308593,26.6889785,0.26069346982156,1.41725515204528,0.1574671923741,-0.101317472695309,0.622704412338429,negative
89.1758168,224.0482627,0.242221869228752,1.37660636828312,0.169681417854241,-0.104070695595206,0.588514434052709,negative
89.96992678,21.56350716,-0.173275369676487,-1.05702772265874,0.29136669708056,-0.49589444820194,0.149343708848966,negative
90.01003861,291.8878538,0.168966958013719,0.929802297474787,0.353236258189948,-0.188676891215628,0.526610807243067,negative
90.01900793,27.27807931,0.378191147340866,2.10329941591534,0.0362891895920336,0.0243161757394704,0.732066118942261,negative
90.02799268,24.13866101,-0.0636791206881256,-0.45449734812118,0.649806282289594,-0.339422627374757,0.212064385998506,negative
90.9360066,76.44666139,-0.161633739179996,-0.955724267692302,0.339996741415038,-0.494476408416112,0.17120893005612,negative
91.02220762,243.9363387,-0.216549877878736,-1.21294128736723,0.226125945131178,-0.567914275407818,0.134814519650346,negative
92.03466914,27.15176007,0.427275814857736,2.43024672743407,0.0156868638752159,0.0812587370055283,0.773292892709944,negative
92.9281764,23.40584596,-0.00288378303123172,-0.0161911781823012,0.987092855362533,-0.353412594167361,0.347645028104897,negative
93.00963565,80.35810083,0.377881952109046,2.0836289680915,0.0380574687012541,0.0209582790664193,0.734805625151672,negative
93.00970517,288.3918571,-0.0296231243941472,-0.171461351386104,0.863978970631735,-0.369642926282474,0.310396677494179,negative
93.03476237,25.87203754,-0.0404560592623735,-0.234707323951917,0.814599280487988,-0.379687834469489,0.298775715944742,negative
93.04610125,277.0523737,-0.137293630247874,-0.798804316236319,0.425048710263367,-0.47555279780289,0.200965537307143,negative
94.0049392,287.2349735,0.141949102827048,0.803478938525939,0.422347089629525,-0.205745336323399,0.489643541977495,negative
94.03007567,274.1657562,-0.335896060148293,-1.95952612060992,0.0509958599756679,-0.67325594741589,0.00146382711930415,negative
94.04136165,280.9075166,-0.33051921014362,-2.05428368122367,0.0408321057796111,-0.647166576367512,-0.0138718439197267,negative
94.11320513,255.8962829,-0.0322363648349029,-0.180853191227893,0.856607418374642,-0.383036276898328,0.318563547228522,negative
94.92524537,19.58820895,0.0013018520893015,0.00731877297000166,0.994165479779169,-0.34877464843772,0.351378352616323,negative
94.98075403,168.220799,-0.142278224359573,-0.899959302577126,0.36887845718109,-0.453417729105952,0.168861280386806,negative
94.98108643,289.9986493,0.206029424981618,1.21320301231636,0.226026040175895,-0.128192826508763,0.540251676471998,negative
95.01401806,181.6772829,0.191646882973964,1.07613701580169,0.282748266797018,-0.158841622953144,0.542135388901072,negative
95.01405508,26.67944459,0.287527304124061,1.64342477937816,0.101364032252374,-0.0567979300347348,0.631852538282856,negative
95.02533638,277.404079,0.233471304672092,1.25833899551597,0.209267563052059,-0.131682176064976,0.59862478540916,negative
95.07026019,296.2765533,0.20122256957371,1.21442913701844,0.225558428717561,-0.124872402144323,0.527317541291743,negative
95.12062975,255.9585718,-0.215052583445294,-1.36208634965618,0.174213302735484,-0.525780028133027,0.0956748612424395,negative
95.67332895,272.8101743,0.196129075514988,1.24715966569432,0.213331541458762,-0.113370112769857,0.505628263799833,negative
95.952428,121.3884256,-0.146416946298231,-0.839974101820111,0.401605452510373,-0.489472961616256,0.196639069019794,negative
95.95256921,286.6116026,0.113350682860052,0.65964798812909,0.509996144606336,-0.224832096151551,0.451533461871655,negative
96.00938643,278.1839394,0.140153784482972,0.784149048930685,0.43358397297759,-0.211605686298481,0.491913255264425,negative
96.02048508,285.9359699,0.148637401809044,0.82078792244946,0.412432093703035,-0.207761812464472,0.50503661608256,negative
96.0457211,283.5651516,-0.0665818779597185,-0.364529993709772,0.715724333781909,-0.426051638479912,0.292887882560475,negative
96.05691181,273.2230118,0.115917666367849,0.646595101661152,0.518398476921251,-0.236905269307808,0.468740602043506,negative
96.27650844,271.7726987,0.205760078958932,1.29655694099704,0.195800402630237,-0.106566621721169,0.518086779639033,negative
96.92234709,19.74176032,0.00474007061327984,0.026564380768237,0.978825205132775,-0.346435829936265,0.355915971162825,negative
97.00463549,287.462787,0.0598382151337405,0.338082795395611,0.735542082964826,-0.288495210042482,0.408171640309963,negative
97.0297075,278.3833554,-0.345114370192434,-2.03449557386012,0.0427988566074588,-0.678960144832943,-0.0112685955519238,negative
97.51940019,254.7957184,0.356332930459644,2.22482328512035,0.0268519833008709,0.0411229004795504,0.671542960439737,negative
97.95962338,124.5229304,0.127185536906591,0.689901241447986,0.49080050139651,-0.235633771600428,0.49000484541361,negative
98.0250034,282.7453614,-0.148796564275698,-0.83030904438789,0.407037801990887,-0.501486222199043,0.203893093647647,negative
98.03609773,83.38974501,0.129751858047924,0.715159120081974,0.475078250268705,-0.227315782950612,0.48681949904646,negative
98.03630887,281.5214434,-0.201860268656225,-1.20704456054432,0.228385229076914,-0.530990013953138,0.127269476640689,negative
98.94930562,286.9917809,0.141161745486372,0.866463685948501,0.386942497537151,-0.179469796767422,0.461793287740166,negative
98.95599949,133.8976032,0.184831263440295,1.00458557830687,0.315922533934762,-0.17726836822949,0.546930895110079,negative
98.95603877,13.02843337,-0.100622329536368,-0.541864472790858,0.588322296595474,-0.466085216072187,0.264840556999451,negative
98.96448784,12.37756056,-0.267946088603658,-1.45221514439278,0.147508139150387,-0.631071005457404,0.0951788282500883,negative
98.97207864,113.8558607,0.143339433838611,0.776438099572773,0.438114553239403,-0.219988205307142,0.506667072984364,negative
99.00654479,35.80273031,-0.163079676097978,-0.909813177654723,0.363666313190358,-0.515846071477012,0.189686719281057,negative
99.00905267,22.67772887,0.026894840512192,0.152944986719613,0.878546575028283,-0.319182621497816,0.3729723025222,negative
99.00905611,280.169221,0.18343163374232,0.99990315308334,0.318179628194375,-0.177608836613419,0.544472104098059,negative
99.02024637,284.482531,0.128432760109313,0.713446678064868,0.47613533883956,-0.22585315406447,0.482718674283097,negative
99.92589069,153.9494746,0.151088524049341,0.877789654938195,0.380774636905231,-0.187662495121088,0.489839543219771,negative
99.92604284,285.6083451,0.0593105608499979,0.324907853874527,0.745481887486366,-0.299951545096939,0.418572666796935,negative
100.0043406,282.2125144,0.00153858551860719,0.00884256656964275,0.992950741716929,-0.340900156148416,0.343977327185631,negative
100.0308274,22.87477142,0.332523756520552,1.89526226335613,0.0590384517834713,-0.0127733607894164,0.677820873830521,negative
100.0405695,155.0237039,0.0810923829291635,0.491741209410768,0.623269236564038,-0.2434586887559,0.405643454614227,negative
100.0407103,279.6706541,-0.334599601845119,-1.92433611059686,0.0552774789964211,-0.676802812820852,0.00760360913061409,negative
100.9648216,99.73730177,-0.00844849430359135,-0.0465896949254662,0.962871875953135,-0.365334105846952,0.348437117239769,negative
100.9677188,125.8100818,-0.41181674912237,-2.32092021615655,0.0209750846502231,-0.761024106007078,-0.0626093922376627,negative
100.9677499,11.44654786,0.178276354964508,1.08472438269008,0.278932429576515,-0.145178693172162,0.501731403101178,negative
100.9857335,153.4618366,-0.12335515292904,-0.776118316375296,0.438303031413138,-0.436156743814134,0.189446437956053,negative
100.9995054,289.5454367,0.345993340813073,2.05730355386971,0.040538835771862,0.0150078518230885,0.676978829803057,negative
101.0609347,261.6395265,0.305066405896533,1.83218530083283,0.0679352632407787,-0.0226246448548734,0.632757456647939,negative
101.0610111,25.35205348,0.00259020161404694,0.0145442205317244,0.988405664798708,-0.347905509987709,0.353085913215803,negative
101.980981,133.4966386,-0.169828031659034,-1.12201224587949,0.26277275276926,-0.467714907150738,0.128058843832671,negative
102.010046,285.0687863,-0.0651246763636823,-0.360356395175923,0.718839383378586,-0.420799343980347,0.290549991252983,negative
102.0198507,12.19070574,0.255116773600508,1.54599890595981,0.123180540661125,-0.0696483778824569,0.579881925083473,negative
102.0198991,281.6246734,0.213797376282069,1.18727224477494,0.236078635224314,-0.140600936803714,0.568195689367852,negative
102.0279393,22.8287432,-0.233809012410999,-1.34634152492396,0.179229488422784,-0.575588187052279,0.107970162230281,negative
102.0463534,198.8902412,0.146904960262744,0.78853480187142,0.431019310989238,-0.219747990493566,0.513557911019054,negative
102.056182,163.9858077,0.2675385335285,1.44280261890527,0.150140621972054,-0.0973994015030916,0.632476468560091,negative
102.9570206,27.38112297,-0.0778941346020355,-0.439005815977103,0.660979782422967,-0.427094004235441,0.27130573503137,negative
103.0037648,134.5536519,0.384595111119543,2.11924071938585,0.0349082284200847,0.0274349095715471,0.74175531266754,negative
103.0039524,18.18630077,0.0101145348388598,0.0556627567308793,0.955648277182353,-0.347504637272416,0.367733706950135,negative
103.0177842,284.5618311,0.0568680491079974,0.316931520123304,0.751520498227443,-0.296268351534609,0.410004449750604,negative
103.0305009,281.6141748,-0.434986403951246,-2.43381837721871,0.0155360345277374,-0.786730734974053,-0.0832420729284397,negative
103.0403184,20.47401129,0.0464269433646848,0.279358272147007,0.780166311124362,-0.280648655981618,0.373502542710988,negative
103.9204241,19.34186357,-0.24050958989158,-1.35506553172184,0.176436910741576,-0.589820129294292,0.108800949511133,negative
103.9603804,27.08882459,0.0876944679210873,0.541693564473225,0.588439897600953,-0.23091458482669,0.406303520668865,negative
104.0257738,285.5718031,-0.0670789052768372,-0.366560576602297,0.714210481847708,-0.427225905192691,0.293068094639016,negative
104.035467,23.15802017,-0.330832518113586,-2.04658783833617,0.0415876570327938,-0.64897186967516,-0.0126931665520127,negative
104.0436665,24.87002666,-0.105207625751284,-0.670384315978747,0.503139075481105,-0.41406854859505,0.203653297092481,negative
104.9540593,27.15971518,-0.043186302092384,-0.236236638462336,0.813413545746659,-0.402967409496923,0.316594805312155,negative
105.0195874,18.32874186,-0.0603359555381036,-0.345381116048588,0.730054854574661,-0.404144920208316,0.283473009132108,negative
105.0336934,282.543844,-0.0255896402955607,-0.141802551574401,0.88733308852924,-0.380746106155366,0.329566825564245,negative
105.0380242,27.36467893,0.448143516076744,2.53934955350544,0.0116210943880546,0.10081997542726,0.795467056726228,negative
105.0461551,273.8399847,0.175839472998159,0.983150507889061,0.326341736396937,-0.176155090249585,0.527834036245904,negative
106.0054865,279.2959476,0.0497871927110501,0.275856350835598,0.782852197225968,-0.305413858285524,0.404988243707624,negative
106.0413355,291.0257052,-0.217338847980933,-1.20353664622785,0.22973690008969,-0.572739018804623,0.138061322842757,negative
106.923047,21.34889901,-0.152671447232402,-0.867102434532472,0.386593028189055,-0.499190410928947,0.193847516464143,negative
107.0503451,181.9296437,0.330480256879343,1.91370196680876,0.0566291428889393,-0.00938815828348927,0.670348672042175,negative
107.0504705,25.00669124,0.0887613216302944,0.478554180796332,0.632611506430092,-0.276271768972489,0.453794412233077,negative
107.0614848,264.2967184,0.424643550507242,2.42512454815784,0.0159054311262418,0.0800318056926933,0.76925529532179,negative
107.9965344,284.5551076,-0.00691142161921332,-0.0382803205813366,0.969490161260068,-0.362241041289376,0.348418198050949,negative
108.0091549,285.3433489,-0.256889101455562,-1.40353275877655,0.16151334972828,-0.617104866543193,0.103326663632069,negative
108.0335116,287.289267,-0.116428189406556,-0.694738753838006,0.487767703501664,-0.446247597884653,0.213391219071541,negative
108.0456381,141.1064559,0.0421814076590907,0.235331807547156,0.814115043262021,-0.310579156266561,0.394941971584743,negative
108.0479319,283.850814,-0.161751162789564,-1.0287173599244,0.304458089307761,-0.471201480331532,0.147699154752405,negative
108.0568266,277.560691,-0.158275623996001,-0.915226463302685,0.360822793845575,-0.498625075774365,0.182073827782364,negative
108.0569027,86.43702431,0.180180872916175,1.01219709672723,0.312276115752517,-0.170153854381427,0.530515600213777,negative
108.9022072,21.50643809,0.102420879805374,0.568177161595061,0.570348361943809,-0.252347021893422,0.457188781504171,negative
108.9200768,21.37819722,-0.271323653225714,-1.53590947557791,0.125636038242158,-0.618989177202314,0.0763418707508867,negative
