"","Pathway_Total","Hits","P_val","P_adj","NES","EC.Hits"
"Vitamin B5 - CoA biosynthesis from pantothenate",4,4,0.005155,0.1184,-1.79,EC00014;EC000944;EC000945;EC000902;EC000903;EC000904;EC000905;EC000929;EC000930;EC000901;EC000451;EC000982;EC000983;EC000247;EC000248;EC000249;EC000250;EC000975;EC000966;EC000943;EC000936;EC000937;EC000938;EC000934;EC000935;EC000947;EC000948;EC000949;EC000950;EC000951;EC000954;EC000955;EC000952;EC000953;EC000839;EC000837;EC000838;EC000946;EC000976
"Vitamin B5 - CoA biosynthesis from pantothenate",4,4,0.005155,0.1184,-1.79,EC000231;EC000457;EC000558;EC000559;EC000227;EC000228;EC000229;EC000320;EC000427;EC000428;EC000593;EC000594;EC000595;EC000203;EC000592;EC00010;EC00011;EC000727;EC000729;EC000728;EC0008;EC0009;EC000730;EC00030;EC000862;EC000863;EC000538;EC000540;EC000541;EC000542
"Vitamin B5 - CoA biosynthesis from pantothenate",4,4,0.005155,0.1184,-1.79,EC00018;EC00019;EC00014;EC00015;EC00016;EC00017;EC000158;EC00031;EC000832;EC000833;EC000105;EC000106;EC000107;EC000220;EC000221;EC000222;EC000108;EC000139;EC000140;EC000199;EC000146;EC00036;EC000195;EC00039;EC00040;EC000422;EC000659;EC00092;EC00095;EC00096;EC00055;EC00056;EC00033;EC00059;EC00060;EC00061;EC000238;EC00062;EC000110;EC000442;EC00022;EC00093;EC00027
"Vitamin B5 - CoA biosynthesis from pantothenate",4,4,0.005155,0.1184,-1.79,EC00020;EC000788;EC000435;EC000135;EC000136;EC000137;EC000138;EC000567;EC000564;EC000784;EC000785;EC000786
"Vitamin B5 - CoA biosynthesis from pantothenate",4,4,0.005155,0.1184,-1.79,EC000278;EC000279;EC00025;EC00026
"Vitamin B5 - CoA biosynthesis from pantothenate",4,4,0.005155,0.1184,-1.79,EC000793;EC000706;EC000809;EC000694;EC000792;EC000798;EC000708;EC000791;EC000697;EC000712;EC000713;EC000797;EC000613;EC000614;EC000795;EC000796;EC000703;EC000714;EC000715;EC000698;EC000699;EC000709;EC000710;EC000711;EC000704;EC000705;EC000790;EC000799;EC000810;EC000794;EC000560
"Vitamin B5 - CoA biosynthesis from pantothenate",4,4,0.005155,0.1184,-1.79,EC00018;EC000721;EC00033;EC000517;EC000343;EC000344;EC00055;EC00056;EC000265;EC000198;EC000315
"Glycerophospholipid metabolism",53,53,0.005587,0.1184,1.643,EC00018;EC00019;EC00014;EC000616;EC000155;EC000156;EC000830;EC000615;EC000288;EC000617;EC000492;EC000493;EC000618;EC000619;EC000474;EC000475;EC000476;EC000620;EC000621;EC000181;EC000182;EC000963;EC000964;EC000263;EC000443;EC000444;EC00041;EC00042;EC00043;EC00044;EC000333;EC000521;EC000522;EC000523;EC000524;EC000366;EC00057;EC00058;EC000450;EC000885;EC000856;EC000857;EC000117;EC000884;EC000257;EC000858;EC000859;EC000153;EC00020;EC000516;EC000613;EC000614;EC000321;EC000322;EC000132;EC000133;EC000258;EC000259;EC000386;EC00022
"Glycerophospholipid metabolism",53,53,0.005587,0.1184,1.643,EC000139;EC000140;EC00065;EC00066;EC00067;EC000118;EC00092;EC00027;EC00095;EC00096
"Glycerophospholipid metabolism",53,53,0.005587,0.1184,1.643,EC00018;EC00083;EC000383;EC000292;EC00055;EC00056;EC00031;EC000154;EC000502;EC000484;EC000485;EC000486;EC000254;EC000411;EC00036;EC000235;EC000146;EC00022;EC00076;EC00068;EC00069;EC000158;EC000449;EC000236;EC000352;EC00019;EC000195;EC000561;EC000291;EC000148;EC00028;EC00039;EC00040;EC000183;EC000184;EC0001002;EC0001003;EC0001004
"Glycerophospholipid metabolism",53,53,0.005587,0.1184,1.643,EC00014;EC000376;EC000377;EC000378;EC000379;EC000275;EC000276;EC000277;EC000681;EC000682;EC000683;EC000391;EC000392;EC000393;EC000679;EC000680;EC000127;EC000128;EC000129;EC000684;EC000685;EC000686;EC000687;EC000432;EC000433;EC000434;EC000719;EC000720;EC000471;EC000472;EC000473;EC000494;EC000495;EC000120;EC000121;EC000868;EC000869;EC000870;EC000866;EC000867;EC000384;EC000385
"Glycerophospholipid metabolism",53,53,0.005587,0.1184,1.643,EC000764;EC000765;EC0003;EC000169;EC000170;EC000900;EC000285;EC000286;EC000287;EC000432;EC000433;EC000434;EC000886;EC000887;EC000888;EC000889;EC000811;EC000812;EC000813;EC000206;EC000207;EC000208;EC00014;EC000162;EC000550;EC000551;EC000552;EC000926;EC000927;EC000928;EC000188
"Glycerophospholipid metabolism",53,53,0.005587,0.1184,1.643,EC00018;EC00019;EC00014;EC00059;EC00060;EC00061;EC00080;EC00081;EC00070;EC00071;EC000105;EC000106;EC000107;EC00023;EC00024;EC000334;EC000335;EC000124;EC000774;EC000906;EC000158
"Glycerophospholipid metabolism",53,53,0.005587,0.1184,1.643,EC000460;EC00063;EC000391;EC000392;EC000393;EC000149;EC000150;EC000471;EC000472;EC000473;EC000999;EC000679;EC000680;EC000127;EC000128;EC000129;EC000384;EC000385;EC0001001;EC000376;EC000377;EC000378;EC000379;EC000109;EC000991;EC000992
"Glycerophospholipid metabolism",53,53,0.005587,0.1184,1.643,EC000108;EC00047;EC000336;EC000337;EC000338;EC000339;EC000340;EC00020;EC000293;EC000879;EC00052;EC00053;EC00054;EC000487
"Glycerophospholipid metabolism",53,53,0.005587,0.1184,1.643,EC000299;EC000300;EC0007;EC000755;EC000754;EC000753;EC000756;EC000305;EC000306;EC000757;EC000679;EC000680;EC000127;EC000128;EC000129;EC000731;EC000732;EC000734;EC000751;EC000258;EC000259;EC000752;EC000758;EC000759;EC000693;EC000471;EC000472;EC000473;EC000760;EC000761;EC000762;EC000673;EC000726;EC000763;EC000989;EC000366;EC000702
