"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Prostaglandin formation from dihomo gama-linoleic acid","8","8","2","0.14713","0.0072151","0.12155","0.00056671","81","0.0081","P1","EC000198;EC000793"
"Arachidonic acid metabolism","31","31","3","0.57011","0.013722","0.085126","0.00058242","144","0.0144","P2","EC000255;EC000198;EC000245"
"Fructose and mannose metabolism","12","12","2","0.22069","0.01634","0.17701","0.00058888","197","0.0197","P3","EC00045;EC000758"
"Fatty Acid Metabolism","15","15","2","0.27586","0.02523","0.21644","0.00061134","110","0.011","P4","EC000361;EC000924"
"Leukotriene metabolism","41","41","3","0.75402","0.029291","0.13696","0.0006219","126","0.0126","P5","EC000793;EC000255;EC000245"
"Prostaglandin formation from arachidonate","44","44","3","0.8092","0.035259","0.15374","0.00063776","425","0.0425","P6","EC000255;EC000198;EC000847"
"C21-steroid hormone biosynthesis and metabolism","49","49","3","0.90115","0.046534","0.18261","0.00066888","397","0.0397","P7","EC000907;EC000339;EC000468"
"Carbon fixation","5","5","1","0.091954","0.082683","1","0.00077978","31","0.0031","P8","EC00045"
"Fatty acid activation","29","29","2","0.53333","0.084893","0.37824","0.00078715","188","0.0188","P9","EC000924;EC00086"
"Glyoxylate and Dicarboxylate Metabolism","6","6","1","0.11034","0.098431","1","0.00083394","8","8e-04","P10","EC00045"
"Pyruvate Metabolism","8","8","1","0.14713","0.12917","1","0.00095128","17","0.0017","P11","EC00045"
"Butanoate metabolism","9","9","1","0.16552","0.14417","1","0.0010147","444","0.0444","P12","EC00086"
"Pentose phosphate pathway","12","12","1","0.22069","0.18772","1","0.0012252","1327","0.1327","P13","EC00045"
"Galactose metabolism","17","17","1","0.31264","0.25573","1","0.0016509","929","0.0929","P14","EC00045"
"Glycolysis and Gluconeogenesis","18","18","1","0.33103","0.26867","1","0.0017483","1803","0.1803","P15","EC00045"
"Carnitine shuttle","25","25","1","0.45977","0.35354","1","0.0025593","1450","0.145","P16","EC000946"
"Linoleate metabolism","31","31","1","0.57011","0.41884","1","0.0034558","3840","0.384","P17","EC000872"
"Urea cycle/amino group metabolism","33","33","1","0.6069","0.4392","1","0.0038006","4050","0.405","P18","EC000411"
"Aspartate and asparagine metabolism","37","37","1","0.68046","0.47792","1","0.0045643","3876","0.3876","P19","EC000361"
"Glycerophospholipid metabolism","45","45","1","0.82759","0.54797","1","0.0064105","3339","0.3339","P20","EC00045"
