m.z,p.value,t.score,r.t
85.02965565,0.160964810582519,1.40548989124888,26.35675378
87.00887596,0.110425560127038,1.60126717814557,159.3062312
87.00894226,0.418250114710793,0.810637769960793,25.97310346
87.9728756,0.892479178358742,0.135288625498932,17.91550247
88.0406022,0.838359461797154,0.204178852213221,24.71106313
89.01479779,0.0285196638617388,2.20125343288861,282.7259782
89.02463145,0.78723918174013,-0.270151550365204,20.39716283
89.04308593,0.948274948124034,0.0649303848082831,26.6889785
89.1758168,0.954341611566723,-0.0573059820203475,224.0482627
89.96992678,0.865226166628778,-0.169878557982486,21.56350716
90.01003861,0.00676089167345291,2.7283370215757,291.8878538
90.01900793,0.298629652441266,-1.04127670369669,27.27807931
90.02799268,0.858743296304467,-0.178135267844041,24.13866101
90.9360066,0.970963358691931,0.0364320558245876,76.44666139
91.02220762,0.126350816386638,-1.53313933947764,243.9363387
92.03466914,0.284115492104475,-1.07314136309028,27.15176007
92.9281764,0.103921811910923,1.63134602329308,23.40584596
93.00963565,0.816633283122402,-0.232091794698098,80.35810083
93.00970517,0.0402385785494624,2.06070411684378,288.3918571
93.03476237,0.503302960178722,-0.670152897968443,25.87203754
93.04610125,0.58255052412909,0.550291441248707,277.0523737
94.0049392,0.0148062091919708,2.45200585250726,287.2349735
94.03007567,0.414991478543736,0.816333023281259,274.1657562
94.04136165,0.103031747575993,1.63557837646502,280.9075166
94.11320513,0.117662097590949,1.56940952031178,255.8962829
94.92524537,0.0865921845777115,1.71959262462886,19.58820895
94.98075403,0.873878028669658,0.158877352617371,168.220799
94.98108643,0.445630804941609,0.763778958137797,289.9986493
95.01401806,0.00715385818441338,2.7091540770971,181.6772829
95.01405508,0.646328995096471,-0.459355607153561,26.67944459
95.02533638,0.0426294373392021,2.03644996500117,277.404079
95.07026019,0.040227567569079,-2.06081862672744,296.2765533
95.12062975,0.192479291101307,1.30637220420956,255.9585718
95.67332895,0.627953184835581,-0.485135131299109,272.81017430000003
95.952428,0.261563838410046,-1.12493321209103,121.3884256
95.95256921,0.67943323029817,-0.413661360785156,286.6116026
