"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"Propanoate metabolism","8","8","1","1.3701","0.75121","1","0.27632","3038","0.3038","P57","EC00076"
"D4&E4-neuroprostanes formation","8","8","1","1.3701","0.75121","1","0.27632","6198","0.6198","P58","EC000895"
"Selenoamino acid metabolism","8","8","1","1.3701","0.75121","1","0.27632","7029","0.7029","P59","EC000191"
"Pyrimidine metabolism","39","39","5","6.6793","0.77039","0.88909","0.29028","3699","0.3699","P60","EC000152;EC000215;EC00039;EC000147;EC00060"
"Galactose metabolism","17","17","2","2.9115","0.78079","0.94767","0.29834","3019","0.3019","P61","EC00018;EC000319"
"Glycosphingolipid metabolism","17","17","2","2.9115","0.78079","0.94767","0.29834","4333","0.4333","P62","EC00018;EC00023"
"Aminosugars metabolism","17","17","2","2.9115","0.78079","0.94767","0.29834","1700","0.17","P63","EC000551;EC000395"
"Beta-Alanine metabolism","9","9","1","1.5414","0.79112","1","0.3067","2049","0.2049","P64","EC000331"
"Glycolysis and Gluconeogenesis","18","18","2","3.0828","0.80782","0.95609","0.32111","7127","0.7127","P65","EC00018;EC00081"
"Biopterin metabolism","10","10","1","1.7126","0.82466","1","0.33685","6437","0.6437","P66","EC00097"
"Sialic acid metabolism","11","11","1","1.8839","0.85284","1","0.36655","5493","0.5493","P67","EC00018"
"Squalene and cholesterol biosynthesis","11","11","1","1.8839","0.85284","1","0.36655","6270","0.627","P68","EC000283"
"Vitamin B3 (nicotinate and nicotinamide) metabolism","11","11","1","1.8839","0.85284","1","0.36655","5330","0.533","P69","EC00091"
"Xenobiotics metabolism","37","37","4","6.3368","0.86612","0.9491","0.38232","9984","0.9984","P70","EC000232;EC00023;EC000614;EC000623"
"Vitamin E metabolism","21","21","2","3.5966","0.87201","0.97409","0.38975","3510","0.351","P71","EC000859;EC000785"
"Phosphatidylinositol phosphate metabolism","14","14","1","2.3977","0.91311","1","0.45148","9035","0.9035","P72","EC00018"
"Fatty Acid Metabolism","15","15","1","2.569","0.92714","1","0.47807","9305","0.9305","P73","EC000333"
"Androgen and estrogen biosynthesis and metabolism","25","25","2","4.2816","0.92724","0.98721","0.47827","8699","0.8699","P74","EC000167;EC00023"
"TCA cycle","16","16","1","2.7402","0.93891","1","0.5037","9385","0.9385","P75","EC000285"
"Prostaglandin formation from arachidonate","44","44","4","7.5356","0.93932","0.98011","0.50465","8825","0.8825","P76","EC000583;EC000846;EC000253;EC000530"
"Purine metabolism","54","54","5","9.2483","0.94988","0.98166","0.53124","9164","0.9164","P77","EC000432;EC000103;EC000188;EC000419;EC000132"
"Fatty acid activation","29","29","2","4.9667","0.95949","0.99371","0.55945","8871","0.8871","P78","EC000333;EC000545"
"De novo fatty acid biosynthesis","19","19","1","3.254","0.96405","1","0.5746","9230","0.923","P79","EC000333"
"Arachidonic acid metabolism","31","31","2","5.3092","0.96997","0.99559","0.5966","8047","0.8047","P80","EC000253;EC000921"
"Vitamin A (retinol) metabolism","21","21","1","3.5966","0.97478","1","0.6169","9591","0.9591","P81","EC000579"
"C21-steroid hormone biosynthesis and metabolism","49","49","3","8.392","0.99062","0.99815","0.71515","9961","0.9961","P82","EC000401;EC000167;EC00023"
"Leukotriene metabolism","41","41","2","7.0218","0.99363","0.99927","0.74649","8376","0.8376","P83","EC000253;EC000342"
