Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
124.9994412,C00111,M-HCOOH+H[1+],285.9815867,0.000435266769969189,EC00044
127.0149115,C00111,M-CO2+H[1+],104.991865,0.000564966769985631,EC00045
127.0151182,C00111,M-CO2+H[1+],283.091629,0.000358266769978854,EC00044
332.0035398,C00112,M-C3H4O2+H[1+],38.25684031,0.000836666769998828,EC00046
246.0997592,C00120,M(C13)+H[1+],283.787465,0.000882733229985888,EC00047
263.1052436,C00120,M+H2O+H[1+],278.9554945,0.000832866769997054,EC00047
219.0464261,C00121,M+HCOONa[1+],19.41661893,0.00105036676998793,EC00048
170.0573416,C00123,M+K[1+],282.7711489,3.48667700222904e-05,EC00049
199.0820954,C00124,M+H2O+H[1+],280.3959377,0.000818933229965069,EC00018
265.0309344,C00124,M+HCOOK[1+],26.12342639,0.00104206677002594,EC00019
246.0047907,C00129,M[1+],25.31345575,0.00100929999999266,EC00050
473.9979297,C00131,M-H2O+H[1+],28.65191491,0.000453233229961825,EC00051
214.0355974,C00135,M+NaCl[1+],160.4799765,0.000220933229996945,EC00052
240.0379056,C00135,M+HCOOK[1+],20.82790366,0.000170866770019984,EC00053
199.0820954,C00137,M+H2O+H[1+],280.3959377,0.000818933229965069,EC00018
265.0309344,C00137,M+HCOOK[1+],26.12342639,0.00104206677002594,EC00019
204.0867897,C00140,M-H2O+H[1+],26.52317727,0.000213233229999332,EC00054
155.0096955,C00141,M+K[1+],131.8614565,0.000380966770023861,EC00055
155.0099701,C00141,M+K[1+],285.3272483,0.000106366770012301,EC00056
119.035138,C00147,M-NH3+H[1+],26.15581369,0.000138466769982415,EC00057
154.0259472,C00148,M+K[1+],284.2848004,0.000129266770017011,EC00058
133.0601844,C00152,M+H[1+],77.78139157,0.000592066770025212,EC00059
133.0602414,C00152,M+H[1+],276.9570177,0.000535066770027015,EC00060
151.0707666,C00152,M+H2O+H[1+],275.9327368,0.000609866770020062,EC00060
191.019859,C00152,M+NaCl[1+],22.169805,0.000482533229984483,EC00061
181.0141337,C00153,M+NaCl[1+],12.32131267,0.00025723323000193,EC00062
103.0177842,C00156,M-H4O2+H[1+],284.5618311,7.73322999236825e-06,EC00063
199.0820954,C00159,M+H2O+H[1+],280.3959377,0.000818933229965069,EC00018
265.0309344,C00159,M+HCOOK[1+],26.12342639,0.00104206677002594,EC00019
112.9995042,C00163,M+K[1+],287.6738191,7.22667699903923e-05,EC00064
112.9995288,C00163,M+K[1+],27.97819032,4.76667700013422e-05,EC00065
119.0493751,C00166,M-HCOOH+H[1+],285.3608594,0.000198633230013456,EC00066
129.0334589,C00166,M-H4O2+H[1+],284.2780183,8.24332299771413e-05,EC00066
142.9744636,C00168,M+K[1+],39.5591744,0.000687133230002246,EC00067
336.0513229,C00170,M+K[1+],20.55118335,0.00105356677005375,EC00068
297.2798078,C00174,M+H[1+],190.4366918,0.00100093343002072,EC00069
128.0531046,C00178,M(C13)+H[1+],27.22508174,0.000471866769998996,EC00070
165.0056758,C00178,M+K[1+],21.00796769,6.66770006318984e-07,EC00070
105.0336934,C00180,M-H2O+H[1+],282.543844,0.000216933230007044,EC00071
160.9988462,C00180,M+K[1+],20.65189149,0.000730266770005983,EC00072
219.0464261,C00181,M+HCOONa[1+],19.41661893,0.00105036676998793,EC00048
156.0410041,C00183,M+K[1+],285.4317871,0.000772366769979271,EC00073
156.0412783,C00183,M+K[1+],96.48941049,0.000498166770000807,EC00074
263.0386277,C00191,M+HCOONa[1+],21.73723238,0.00125123322999343,EC00075
279.012075,C00191,M+HCOOK[1+],20.39195925,0.000798533229954046,EC00075
97.00463549,C00207,M+K[1+],287.462787,4.09767699949271e-05,EC00076
251.0770915,C00212,M-NH3+H[1+],192.7666848,0.00048496676998866,EC00077
305.2489774,C00219,M+H[1+],283.2590045,0.00150093322997691,EC00078
306.252392,C00219,M(C13)+H[1+],280.3386952,0.00151553322996278,EC00078
323.2591407,C00219,M+H2O+H[1+],237.6831811,0.00106423322995397,EC00079
199.0820954,C00221,M+H2O+H[1+],280.3959377,0.000818933229965069,EC00018
265.0309344,C00221,M+HCOOK[1+],26.12342639,0.00104206677002594,EC00019
427.0185684,C00224,M[1+],42.97083059,0.00133160000001453,EC00080
112.9995042,C00227,M-CO+H[1+],287.6738191,0.000272266769997032,EC00081
112.9995288,C00227,M-CO+H[1+],27.97819032,0.000247666770007982,EC00082
178.9494316,C00227,M+K[1+],14.98023853,0.0008448667700236,EC00082
97.00463549,C00227,M-CO2+H[1+],287.462787,0.000340976770004886,EC00081
169.0260891,C00233,M+K[1+],21.26711065,0.000312633230009851,EC00083
246.0047907,C00235,M[1+],25.31345575,0.00100929999999266,EC00050
266.9657437,C00236,M+H[1+],31.73708023,0.000832766769974569,EC00084
334.9535686,C00236,M+HCOONa[1+],35.25462314,0.000407866769990051,EC00084
350.9291041,C00236,M+HCOOK[1+],38.84486744,0.00122763323003028,EC00084
135.0304058,C00242,M-NH3+H[1+],19.1433793,0.000229333230009843,EC00085
127.0149115,C00246,M+K[1+],104.991865,0.000264966770004094,EC00086
127.0151182,C00246,M+K[1+],283.091629,5.82667699973172e-05,EC00087
199.0820954,C00247,M+H2O+H[1+],280.3959377,0.000818933229965069,EC00018
265.0309344,C00247,M+HCOOK[1+],26.12342639,0.00104206677002594,EC00019
188.0566373,C00248,M-H2O+H[1+],21.25511552,0.000460833229993796,EC00088
189.0406702,C00248,M-NH3+H[1+],22.60286086,0.000393733229969939,EC00088
208.0631733,C00248,M(S34)+H[1+],282.492341,0.000596833229963067,EC00089
167.0575883,C00250,M[1+],282.6430336,0.000611700000007431,EC00090
123.0314267,C00253,M[1+],288.7318904,0.000573299999999222,EC00091
161.9940663,C00253,M+K[1+],21.24270901,0.000710166770033993,EC00092
200.0675633,C00255,M+H+Na[2+],112.8584072,0.000136833229959166,EC00093
219.0464261,C00259,M+HCOONa[1+],19.41661893,0.00105036676998793,EC00048
119.035138,C00262,M-H2O+H[1+],26.15581369,3.84667699933061e-05,EC00094
199.0820954,C00267,M+H2O+H[1+],280.3959377,0.000818933229965069,EC00018
265.0309344,C00267,M+HCOOK[1+],26.12342639,0.00104206677002594,EC00019
121.0602355,C00268,M(C13)+2H[2+],277.4597102,0.000359033230012074,EC00095
194.1033268,C00268,M-HCOOH+H[1+],46.35109411,0.000349666770006252,EC00096
204.0883262,C00268,M-H4O2+H[1+],264.3708968,0.000449733229999083,EC00095
223.0823578,C00268,M-NH3+H[1+],23.27570921,0.000218666769995934,EC00097
264.1076694,C00272,M+Na[1+],23.04873394,0.000892933229977189,EC00098
155.0099701,C00279,M-HCOOH+H[1+],285.3272483,0.000506366769997157,EC00099
157.025563,C00279,M-CO2+H[1+],283.6581109,0.000513466770001969,EC00099
575.9911931,C00286,M+HCOONa[1+],33.87962107,0.000816633229987929,EC000100
132.0204982,C00292,M+K[1+],91.92055515,7.82667700320872e-05,EC000101
132.0205741,C00292,M+K[1+],288.5894311,2.36677001907992e-06,EC000102
178.0259507,C00292,M+HCOOK[1+],283.8699895,0.000425766769978964,EC000102
199.0820954,C00293,M+H2O+H[1+],280.3959377,0.000833933229955619,EC00018
265.0309344,C00293,M+HCOOK[1+],26.12342639,0.00102706677000697,EC00019
223.0823578,C00294,M-HCOOH+H[1+],23.27570921,0.000318666769999254,EC000103
233.0666574,C00294,M-H4O2+H[1+],137.235386,0.000219066770029031,EC000104
241.0918883,C00294,M-CO+H[1+],49.28548821,0.00118816677002087,EC000105
251.0770915,C00294,M-H2O+H[1+],192.7666848,0.000384966770013762,EC000106
269.0882423,C00294,M+H[1+],25.80753141,0.000165833229971213,EC000103
270.0916616,C00294,M(C13)+H[1+],26.03664812,0.000185133229990697,EC000103
190.0362351,C00300,M+NaCl[1+],16.82229856,0.000858633229995576,EC000107
219.0464261,C00309,M+HCOONa[1+],19.41661893,0.00105036676998793,EC00048
219.0464261,C00310,M+HCOONa[1+],19.41661893,0.00105036676998793,EC00048
219.0464261,C00312,M+HCOONa[1+],19.41661893,0.00105036676998793,EC00048
134.0599281,C00314,M-H4O2+H[1+],287.9088615,4.83667700166279e-05,EC000108
214.1529447,C00315,M+HCOONa[1+],178.8255556,0.000368233229977477,EC000109
200.0675633,C00318,M+K[1+],112.8584072,0.00041316677001646,EC000110
192.0664437,C00328,M-NH3+H[1+],178.8545734,0.0008672332299966,EC000111
227.1020716,C00328,M+H2O+H[1+],42.53382856,0.000604866770032686,EC000112
251.0770915,C00330,M-NH3+H[1+],192.7666848,0.00048496676998866,EC00077
187.0382668,C00331,M-NH3+H[1+],23.75496461,0.000709666770006834,EC000113
203.0576559,C00331,M[1+],280.5008666,0.000544100000013259,EC000114
204.0662593,C00331,M+H[1+],25.1635364,0.000782833230005053,EC000113
222.0766542,C00331,M+H2O+H[1+],19.68796571,0.000577733229988553,EC000113
272.0524611,C00331,M+HCOONa[1+],26.55664844,0.000415366769971115,EC000113
131.0446077,C00337,M-CO+H[1+],159.5858786,0.000468766770012508,EC000115
315.0749334,C00341,M+H[1+],227.4565924,0.000743066769985035,EC000116
106.0054865,C00346,M-H4O2+H[1+],279.2959476,0.000310033229993678,EC000117
124.0154905,C00346,M-H2O+H[1+],288.5559531,0.000285966770007917,EC000117
124.0155224,C00346,M-H2O+H[1+],21.68817457,0.000254066770011718,EC000118
124.9994412,C00346,M-NH3+H[1+],285.9815867,0.000435266769997611,EC000117
98.03609773,C00346,M-CO2+H[1+],83.38974501,0.000478736770006094,EC000119
98.03630887,C00346,M-CO2+H[1+],281.5214434,0.000267596770001433,EC000117
880.6416447,C00350,M+HCOONa[1+],230.9144061,0.00147747433004497,EC000120
322.9927154,C00354,M-H2O+H[1+],38.30240964,3.89332300301248e-05,EC000121
378.9582068,C00354,M+K[1+],33.02331348,0.000569666769990818,EC000121
256.0336448,C00355,M+NaCl[1+],21.89011243,0.00103166677001809,EC000122
266.0624681,C00355,M+HCOONa[1+],22.50146338,0.00100836677000871,EC000122
314.0663192,C00360,M-H2O+H[1+],22.79145935,0.00144273323002153,EC000123
117.0296125,C00362,M(C13)+3H[3+],285.792039,0.000236033229995769,EC00017
347.0028705,C00365,M+K[1+],16.832571,0.000905966770005762,EC000124
133.0144871,C00366,M-H4O2+H[1+],22.02325697,0.00011063322997984,EC000125
257.2275213,C00376,M-CO+H[1+],247.2143401,0.00124483322997548,EC000126
303.2332381,C00376,M+H2O+H[1+],269.8584535,0.00136163322997618,EC000127
267.12421,C00378,M(C13)+H[1+],21.23804687,0.00123353322999264,EC000128
117.0196375,C00385,M-H4O2+H[1+],22.74225645,0.000161033230000385,EC000129
135.0304058,C00385,M-H2O+H[1+],19.1433793,0.000329333230013162,EC000129
311.0752192,C00386,M+HCOOK[1+],20.97672209,4.2733229975056e-05,EC000130
143.0543055,C00387,M(C13)+2H[2+],83.81522714,0.000520966770011455,EC000131
266.0887171,C00387,M-H2O+H[1+],18.67445727,0.000340633229996001,EC000132
266.0891686,C00387,M-H2O+H[1+],145.5934715,0.000792133229992942,EC000133
267.0729594,C00387,M-NH3+H[1+],21.61184389,0.000482933229989158,EC000132
150.0421653,C00388,M+K[1+],284.2066954,0.00021116677001487,EC000134
172.0977993,C00390,M+H+Na[2+],170.8549598,0.000142333230002123,EC000135
172.0978673,C00390,M+H+Na[2+],12.19906017,0.00021033323000097,EC000136
247.1702332,C00399,M-C3H4O2+H[1+],227.6573569,0.000947410229997558,EC000137
275.2016744,C00399,M-CO2+H[1+],230.3211583,0.00108861022999918,EC000137
301.1811422,C00399,M-H2O+H[1+],51.99125575,0.00135641023001654,EC000138
