"","Pathway total","Hits.total","Hits.sig","Expected","FET","EASE","Gamma","Emp.Hits","Empirical","Pathway Number","EC.Hits"
"3-oxo-10R-octadecatrienoate beta-oxidation","5","5","1","0.6702","0.48382","1","0.062234","684","0.0684","P43","EC0001065"
"CoA Catabolism","5","5","1","0.6702","0.48382","1","0.062234","7446","0.7446","P44","EC000360"
"Vitamin A (retinol) metabolism","13","13","2","1.7425","0.49143","0.81962","0.06354","901","0.0901","P45","EC000490;EC000254"
"De novo fatty acid biosynthesis","30","30","4","4.0212","0.51948","0.73419","0.068648","2171","0.2171","P46","EC000450;EC000806;EC000490;EC000126"
"Glycosphingolipid biosynthesis - ganglioseries","6","6","1","0.80424","0.54794","1","0.074352","1394","0.1394","P47","EC00020"
"Propanoate metabolism","6","6","1","0.80424","0.54794","1","0.074352","5916","0.5916","P48","EC000355"
"Glyoxylate and Dicarboxylate Metabolism","6","6","1","0.80424","0.54794","1","0.074352","965","0.0965","P49","EC00065"
"Polyunsaturated fatty acid biosynthesis","6","6","1","0.80424","0.54794","1","0.074352","3349","0.3349","P50","EC000450"
"Pentose and Glucuronate Interconversions","6","6","1","0.80424","0.54794","1","0.074352","273","0.0273","P51","EC000150"
"N-Glycan Degradation","6","6","1","0.80424","0.54794","1","0.074352","8679","0.8679","P52","EC00020"
"Phosphatidylinositol phosphate metabolism","15","15","2","2.0106","0.57125","0.86167","0.079465","5320","0.532","P53","EC00020;EC000622"
"N-Glycan biosynthesis","7","7","1","0.93828","0.60414","1","0.087451","1404","0.1404","P54","EC00020"
"Keratan sulfate degradation","7","7","1","0.93828","0.60414","1","0.087451","8195","0.8195","P55","EC00020"
"Heparan sulfate degradation","7","7","1","0.93828","0.60414","1","0.087451","5750","0.575","P56","EC00020"
"Tryptophan metabolism","93","93","11","12.466","0.61691","0.72943","0.090822","8632","0.8632","P57","EC000342;EC000568;EC000748;EC00061;EC000970;EC000312;EC000627;EC000180;EC000181;EC00020;EC000314"
